North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
34,"Archer, Jackson",20y 209d,7 (0-0-7 0.00%),,←,
4,"Corr, Aidan",29y 81d,136 (50-3-83 37.87%),2 (0.01),38 (3-0-35 7.89%),
25,"Curtis, Paul",20y 155d,33 (3-0-30 9.09%),26 (0.79),←,
9,"Davies-Uniacke, Luke",24y 59d,84 (18-1-65 22.02%),29 (0.35),←,
40,"Ford, Eddie",21y 46d,19 (0-0-19 0.00%),12 (0.63),←,
31,"Goater, Josh",20y 65d,8 (2-0-6 25.00%),,←,
22,"Goldstein, Todd",35y 36d,312 (129-2-181 41.67%),157 (0.50),←,
46,"Hansen, Robert",19y 146d,2 (0-0-2 0.00%),,←,
20,"Larkey, Nick",25y 61d,91 (19-1-71 21.43%),171 (1.88),←,
35,"Lazzaro, Charlie",21y 134d,28 (4-0-24 14.29%),3 (0.11),←,
11,"McDonald, Luke",28y 178d,179 (67-0-112 37.43%),18 (0.10),←,
23,"McKay, Ben",25y 225d,68 (7-1-60 11.03%),1 (0.01),←,
29,"Phillips, Will",21y 76d,30 (5-0-25 16.67%),6 (0.20),←,
8,"Scott, Bailey",23y 28d,75 (8-1-66 11.33%),27 (0.36),←,
3,"Sheezel, Harry",18y 297d,20 (2-0-18 10.00%),3 (0.15),←,
12,"Simpkin, Jy",25y 154d,131 (36-1-94 27.86%),49 (0.37),←,
2,"Stephenson, Jaidyn",24y 203d,109 (40-1-68 37.16%),120 (1.10),55 (6-1-48 11.82%),44 (0.80)
5,"Taylor, Curtis",23y 122d,65 (11-1-53 17.69%),28 (0.43),←,
26,"Thomas, Tarryn",23y 134d,66 (17-1-48 26.52%),54 (0.82),←,
13,"Tucker, Darcy",26y 195d,123 (42-0-81 34.15%),40 (0.33),15 (0-0-15 0.00%),5 (0.33)
28,"Turner, Kayne",27y 218d,127 (48-1-78 38.19%),61 (0.48),←,
38,"Xerri, Tristan",24y 144d,30 (5-1-24 18.33%),13 (0.43),←,
7,"Ziebell, Jack",32y 159d,278 (112-1-165 40.47%),183 (0.66),←,
Totals,Totals,24y 152d,2021 (625-16-1380 30.93%),1003 (0.50),,
C,"Clarkson, Alastair",55y 101d,400 (230-4-166 58.00%),,10 (2-0-8 20.00%),
