Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",27y 68d,138 (47-1-90 34.42%),115 (0.83),←,
15,"Anderson, Noah",24y 61d,109 (43-1-65 39.91%),43 (0.39),←,
1,"Andrew, Mac",21y 136d,45 (20-0-25 44.44%),9 (0.20),←,
35,"Budarick, Connor",24y 13d,40 (19-1-20 48.75%),1 (0.03),←,
25,"Collins, Sam",30y 308d,132 (52-1-79 39.77%),,118 (49-1-68 41.95%),
3,"Flanders, Sam",23y 269d,70 (27-1-42 39.29%),29 (0.41),←,
26,"Graham, Will",19y 266d,22 (11-0-11 50.00%),16 (0.73),←,
7,"Holman, Nick",29y 325d,135 (48-0-87 35.56%),73 (0.54),126 (47-0-79 37.30%),73 (0.58)
19,"Humphrey, Bailey",20y 220d,45 (23-0-22 51.11%),27 (0.60),←,
40,"Jeffrey, Joel",23y 38d,33 (17-0-16 51.52%),17 (0.52),←,
34,"King, Ben",24y 286d,100 (36-1-63 36.50%),202 (2.02),←,
22,"Long, Ben",27y 241d,116 (50-1-65 43.53%),70 (0.60),37 (18-0-19 48.65%),39 (1.05)
11,"Miller, Touk",29y 56d,196 (59-2-135 30.61%),63 (0.32),←,
2,"Noble, John",28y 25d,117 (70-3-44 61.11%),10 (0.09),5 (4-0-1 80.00%),2 (0.40)
27,"Powell, Wil",25y 236d,110 (44-1-65 40.45%),15 (0.14),←,
20,"Read, Ethan",19y 286d,9 (5-0-4 55.56%),8 (0.89),←,
17,"Rioli, Daniel",28y 3d,188 (102-4-82 55.32%),111 (0.59),5 (4-0-1 80.00%),2 (0.40)
29,"Rogers, Jake",20y 48d,14 (8-0-6 57.14%),6 (0.43),←,
18,"Rowell, Matt",23y 292d,90 (40-0-50 44.44%),26 (0.29),←,
32,"Uwland, Bodhi",21y 268d,29 (15-0-14 51.72%),,←,
4,"Walter, Jed",19y 315d,18 (9-0-9 50.00%),17 (0.94),←,
14,"Weller, Lachie",29y 55d,147 (45-1-101 30.95%),50 (0.34),100 (31-1-68 31.50%),33 (0.33)
28,"Witts, Jarrod",32y 218d,186 (68-1-117 36.83%),42 (0.23),146 (50-1-95 34.59%),24 (0.16)
Totals,Totals,25y 1d,2089 (858-19-1212 41.07%),950 (0.45),,
C,"Hardwick, Damien",52y 244d,335 (185-6-144 56.12%),,28 (15-0-13 53.57%),
