North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
34,"Archer, Jackson",21y 159d,13 (1-0-12 7.69%),,←,
30,"Comben, Charlie",22y 332d,19 (3-0-16 15.79%),5 (0.26),←,
4,"Corr, Aidan",30y 30d,152 (52-3-97 35.20%),3 (0.02),54 (5-0-49 9.26%),1 (0.02)
25,"Curtis, Paul",21y 104d,49 (5-0-44 10.20%),48 (0.98),←,
9,"Davies-Uniacke, Luke",25y 8d,98 (19-1-78 19.90%),36 (0.37),←,
42,"Dawson, Kallan",25y 330d,11 (2-0-9 18.18%),,←,
16,"Fisher, Zac",26y 1d,120 (36-1-83 30.42%),53 (0.44),13 (1-0-12 7.69%),
40,"Ford, Eddie",21y 361d,32 (2-0-30 6.25%),26 (0.81),←,
20,"Larkey, Nick",26y 10d,107 (21-1-85 20.09%),219 (2.05),←,
11,"McDonald, Luke",29y 128d,193 (68-0-125 35.23%),18 (0.09),←,
29,"Phillips, Will",22y 25d,36 (6-0-30 16.67%),7 (0.19),←,
32,"Pink, Toby",25y 310d,8 (1-0-7 12.50%),2 (0.25),←,
24,"Powell, Tom",22y 106d,58 (7-1-50 12.93%),22 (0.38),←,
8,"Scott, Bailey",23y 343d,91 (10-1-80 11.54%),29 (0.32),←,
3,"Sheezel, Harry",19y 247d,36 (4-0-32 11.11%),8 (0.22),←,
14,"Shiels, Liam",33y 48d,279 (159-3-117 57.53%),94 (0.34),24 (3-0-21 12.50%),4 (0.17)
2,"Stephenson, Jaidyn",25y 153d,120 (41-1-78 34.58%),129 (1.08),66 (7-1-58 11.36%),53 (0.80)
5,"Taylor, Curtis",24y 71d,72 (13-1-58 18.75%),32 (0.44),←,
43,"Teakle, Brynn",24y 244d,7 (5-0-2 71.43%),2 (0.29),1 (0-0-1 0.00%),1 (1.00)
13,"Tucker, Darcy",27y 145d,139 (44-0-95 31.65%),44 (0.32),31 (2-0-29 6.45%),9 (0.29)
6,"Wardlaw, George",20y 5d,20 (1-0-19 5.00%),6 (0.30),←,
38,"Xerri, Tristan",25y 93d,46 (7-1-38 16.30%),18 (0.39),←,
44,"Zurhaar, Cameron",26y 25d,111 (25-1-85 22.97%),150 (1.35),←,
Totals,Totals,24y 285d,1817 (532-15-1270 29.28%),951 (0.52),,
C,"Clarkson, Alastair",56y 50d,416 (232-4-180 56.25%),,26 (4-0-22 15.38%),
