Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",26y 91d,126 (40-1-85 32.14%),107 (0.85),←,
15,"Anderson, Noah",23y 84d,90 (33-1-56 37.22%),36 (0.40),←,
31,"Andrew, Mac",20y 159d,27 (11-0-16 40.74%),,←,
10,"Ballard, Charlie",24y 293d,119 (38-1-80 32.35%),2 (0.02),←,
16,"Berry, Tom",23y 10d,35 (23-0-12 65.71%),5 (0.14),15 (8-0-7 53.33%),2 (0.13)
33,"Clohesy, Sam",21y 151d,6 (3-0-3 50.00%),6 (1.00),←,
25,"Collins, Sam",29y 331d,113 (42-1-70 37.61%),,99 (39-1-59 39.90%),
5,"Davies, Alex",22y 54d,26 (12-0-14 46.15%),9 (0.35),←,
3,"Flanders, Sam",22y 292d,53 (18-1-34 34.91%),15 (0.28),←,
7,"Holman, Nick",28y 348d,119 (40-0-79 33.61%),66 (0.55),110 (39-0-71 35.45%),66 (0.60)
19,"Humphrey, Bailey",19y 243d,26 (13-0-13 50.00%),14 (0.54),←,
40,"Jeffrey, Joel",22y 60d,17 (9-0-8 52.94%),15 (0.88),←,
38,"Johnston, Lloyd",19y 233d,3 (1-0-2 33.33%),1 (0.33),←,
34,"King, Ben",23y 309d,82 (26-1-55 32.32%),154 (1.88),←,
22,"Long, Ben",26y 264d,97 (40-1-56 41.75%),34 (0.35),18 (8-0-10 44.44%),3 (0.17)
13,"Lukosius, Jack",23y 276d,104 (35-1-68 34.13%),60 (0.58),←,
11,"Miller, Touk",28y 79d,182 (51-2-129 28.57%),53 (0.29),←,
29,"Rogers, Jake",19y 70d,4 (2-0-2 50.00%),2 (0.50),←,
18,"Rowell, Matt",22y 315d,71 (30-0-41 42.25%),22 (0.31),←,
6,"Sexton, Alex",30y 160d,170 (47-0-123 27.65%),163 (0.96),←,
32,"Uwland, Bodhi",20y 291d,10 (5-0-5 50.00%),,←,
17,"Walter, Jed",18y 338d,7 (3-0-4 42.86%),9 (1.29),←,
28,"Witts, Jarrod",31y 241d,173 (61-1-111 35.55%),35 (0.20),133 (43-1-89 32.71%),17 (0.13)
Totals,Totals,23y 347d,1660 (583-11-1066 35.12%),808 (0.49),,
C,"Hardwick, Damien",51y 267d,316 (175-6-135 56.33%),,9 (5-0-4 55.56%),
