Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",25y 141d,109 (33-1-75 30.73%),90 (0.83),←,
15,"Anderson, Noah",22y 134d,73 (26-1-46 36.30%),26 (0.36),←,
31,"Andrew, Mac",19y 209d,13 (6-0-7 46.15%),,←,
2,"Atkins, Rory",28y 354d,127 (72-1-54 57.09%),49 (0.39),26 (10-0-16 38.46%),2 (0.08)
10,"Ballard, Charlie",23y 343d,102 (31-1-70 30.88%),2 (0.02),←,
30,"Casboult, Levi",33y 108d,187 (62-1-124 33.42%),201 (1.07),33 (14-0-19 42.42%),45 (1.36)
25,"Collins, Sam",29y 16d,96 (35-1-60 36.98%),,82 (32-1-49 39.63%),
4,"Ellis, Brandon",29y 332d,239 (133-2-104 56.07%),80 (0.33),63 (24-1-38 38.89%),22 (0.35)
8,"Fiorini, Brayden",25y 313d,89 (24-1-64 27.53%),26 (0.29),←,
3,"Flanders, Sam",21y 342d,36 (11-1-24 31.94%),11 (0.31),←,
7,"Holman, Nick",28y 33d,104 (33-0-71 31.73%),59 (0.57),95 (32-0-63 33.68%),59 (0.62)
19,"Humphrey, Bailey",18y 293d,12 (6-0-6 50.00%),9 (0.75),←,
34,"King, Ben",22y 359d,68 (19-1-48 28.68%),122 (1.79),←,
22,"Long, Ben",25y 314d,92 (38-1-53 41.85%),31 (0.34),13 (6-0-7 46.15%),
13,"Lukosius, Jack",22y 326d,88 (28-1-59 32.39%),43 (0.49),←,
44,"Macpherson, Darcy",25y 245d,87 (26-0-61 29.89%),26 (0.30),←,
47,"Oea, Hewago",21y 230d,10 (6-0-4 60.00%),3 (0.30),←,
27,"Powell, Wil",23y 309d,82 (30-1-51 37.20%),13 (0.16),←,
41,"Rosas, Malcolm",22y 4d,33 (16-0-17 48.48%),25 (0.76),←,
18,"Rowell, Matt",22y,54 (23-0-31 42.59%),15 (0.28),←,
24,"Swallow, David",30y 224d,212 (62-1-149 29.48%),95 (0.45),←,
14,"Weller, Lachie",27y 128d,135 (39-1-95 29.26%),45 (0.33),88 (25-1-62 28.98%),28 (0.32)
28,"Witts, Jarrod",30y 291d,157 (54-1-102 34.71%),33 (0.21),117 (36-1-80 31.20%),15 (0.13)
Totals,Totals,25y 124d,2205 (813-17-1375 36.87%),1004 (0.46),,
C,"Dew, Stuart",43y 317d,120 (36-1-83 30.42%),,←,
