Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
22,"Carlisle, Jake",19y 331d,9 (3-0-6 33.33%),4 (0.44),←,
32,"Colyer, Travis",20y 4d,20 (9-0-11 45.00%),13 (0.65),←,
29,"Davey, Alwyn",27y 105d,68 (32-1-35 47.79%),72 (1.06),←,
34,"Hardingham, Kyle",22y 361d,27 (13-1-13 50.00%),9 (0.33),←,
21,"Heppell, Dyson",19y 106d,22 (11-1-10 52.27%),3 (0.14),←,
19,"Hille, David",30y 87d,183 (85-1-97 46.72%),141 (0.77),←,
26,"Hooker, Cale",22y 319d,49 (17-1-31 35.71%),5 (0.10),←,
40,"Howlett, Ben",22y 311d,37 (16-1-20 44.59%),15 (0.41),←,
18,"Hurley, Michael",21y 88d,46 (19-2-25 43.48%),49 (1.07),←,
7,"Jetta, Leroy",23y 53d,61 (29-1-31 48.36%),50 (0.82),←,
42,"Lovett-Murray, Nathan",28y 283d,124 (44-2-78 36.29%),64 (0.52),←,
10,"McVeigh, Mark",30y 214d,228 (108-4-116 48.25%),106 (0.46),←,
17,"Melksham, Jake",19y 364d,36 (14-1-21 40.28%),12 (0.33),←,
6,"Monfries, Angus",24y 221d,131 (49-3-79 38.55%),144 (1.10),←,
23,"Myers, David",22y 59d,35 (14-0-21 40.00%),7 (0.20),←,
16,"Pears, Tayte",21y 157d,46 (18-1-27 40.22%),3 (0.07),←,
37,"Reimers, Kyle",22y 230d,54 (23-1-30 43.52%),61 (1.13),←,
30,"Ryder, Paddy",23y 167d,116 (47-3-66 41.81%),70 (0.60),←,
5,"Stanton, Brent",25y 119d,161 (61-3-97 38.82%),101 (0.63),←,
4,"Watson, Jobe",26y 201d,131 (52-3-76 40.84%),59 (0.45),←,
12,"Welsh, Andrew",28y 198d,162 (65-2-95 40.74%),32 (0.20),←,
11,"Zaharakis, David",21y 188d,52 (23-1-28 45.19%),57 (1.10),←,
Totals,Totals,23y 322d,1798 (752-33-1013 41.82%),1077 (0.60),,
C,"Hird, James",38y 205d,22 (11-1-10 52.27%),,←,
