Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",25y 176d,114 (35-1-78 31.14%),96 (0.84),←,
15,"Anderson, Noah",22y 169d,78 (28-1-49 36.54%),28 (0.36),←,
31,"Andrew, Mac",19y 244d,18 (8-0-10 44.44%),,←,
2,"Atkins, Rory",29y 24d,132 (74-1-57 56.44%),51 (0.39),31 (12-0-19 38.71%),4 (0.13)
10,"Ballard, Charlie",24y 13d,107 (33-1-73 31.31%),2 (0.02),←,
30,"Casboult, Levi",33y 143d,192 (64-1-127 33.59%),211 (1.10),38 (16-0-22 42.11%),55 (1.45)
25,"Collins, Sam",29y 51d,101 (37-1-63 37.13%),,87 (34-1-52 39.66%),
4,"Ellis, Brandon",30y 2d,244 (135-2-107 55.74%),82 (0.34),68 (26-1-41 38.97%),24 (0.35)
50,"Farrar, Jy",26y 241d,33 (15-0-18 45.45%),3 (0.09),←,
3,"Flanders, Sam",22y 12d,41 (13-1-27 32.93%),11 (0.27),←,
36,"Hollands, Elijah",21y 102d,13 (5-0-8 38.46%),8 (0.62),←,
7,"Holman, Nick",28y 68d,109 (35-0-74 32.11%),61 (0.56),100 (34-0-66 34.00%),61 (0.61)
19,"Humphrey, Bailey",18y 328d,17 (8-0-9 47.06%),11 (0.65),←,
34,"King, Ben",23y 29d,73 (21-1-51 29.45%),129 (1.77),←,
23,"Lemmens, Sean",28y 276d,142 (42-2-98 30.28%),25 (0.18),←,
13,"Lukosius, Jack",22y 361d,93 (30-1-62 32.80%),53 (0.57),←,
44,"Macpherson, Darcy",25y 280d,92 (28-0-64 30.43%),29 (0.32),←,
27,"Powell, Wil",23y 344d,87 (32-1-54 37.36%),13 (0.15),←,
41,"Rosas, Malcolm",22y 39d,35 (17-0-18 48.57%),26 (0.74),←,
18,"Rowell, Matt",22y 35d,59 (25-0-34 42.37%),17 (0.29),←,
24,"Swallow, David",30y 259d,217 (64-1-152 29.72%),95 (0.44),←,
21,"Tsitas, James",28y 155d,4 (1-0-3 25.00%),2 (0.50),←,
28,"Witts, Jarrod",30y 326d,162 (56-1-105 34.88%),33 (0.20),122 (38-1-83 31.56%),15 (0.12)
Totals,Totals,25y 223d,2163 (806-16-1341 37.26%),986 (0.46),,
C,"King, Steven",44y 256d,4 (2-0-2 50.00%),,←,
