North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
30,"Comben, Charlie",23y 308d,39 (7-1-31 19.23%),8 (0.21),←,
4,"Corr, Aidan",31y 7d,171 (56-4-111 33.92%),3 (0.02),73 (9-1-63 13.01%),1 (0.01)
25,"Curtis, Paul",22y 81d,67 (8-0-59 11.94%),78 (1.16),←,
5,"Daniel, Caleb",28y 321d,203 (107-1-95 52.96%),49 (0.24),11 (2-1-8 22.73%),
28,"Darling, Jack",32y 345d,309 (159-2-148 51.78%),543 (1.76),11 (2-1-8 22.73%),11 (1.00)
9,"Davies-Uniacke, Luke",25y 350d,119 (23-2-94 20.17%),45 (0.38),←,
16,"Fisher, Zac",26y 343d,128 (36-1-91 28.52%),53 (0.41),21 (1-0-20 4.76%),
17,"Hardeman, Riley",20y 86d,10 (1-1-8 15.00%),,←,
41,"Konstanty, Jacob",20y 196d,11 (2-1-8 22.73%),8 (0.73),←,
20,"Larkey, Nick",26y 352d,128 (25-2-101 20.31%),261 (2.04),←,
39,"Maley, Finnbar",21y 310d,4 (1-1-2 37.50%),2 (0.50),←,
11,"McDonald, Luke",30y 104d,214 (72-1-141 33.88%),18 (0.08),←,
10,"McKercher, Colby",20y 42d,27 (4-1-22 16.67%),6 (0.22),←,
2,"OSullivan, Finn",18y 359d,10 (2-1-7 25.00%),,←,
26,"Parker, Luke",32y 211d,304 (182-3-119 60.36%),220 (0.72),11 (2-1-8 22.73%),7 (0.64)
32,"Pink, Toby",26y 286d,20 (5-1-14 27.50%),7 (0.35),←,
24,"Powell, Tom",23y 83d,79 (11-2-66 15.19%),29 (0.37),←,
3,"Sheezel, Harry",20y 223d,55 (8-1-46 15.45%),18 (0.33),←,
12,"Simpkin, Jy",27y 80d,163 (42-2-119 26.38%),70 (0.43),←,
15,"Stephens, Dylan",24y 136d,69 (29-1-39 42.75%),13 (0.19),26 (4-1-21 17.31%),2 (0.08)
6,"Wardlaw, George",20y 347d,31 (2-1-28 8.06%),11 (0.35),←,
38,"Xerri, Tristan",26y 70d,67 (11-2-54 17.91%),24 (0.36),←,
44,"Zurhaar, Cameron",27y 2d,132 (29-2-101 22.73%),184 (1.39),←,
Totals,Totals,25y 75d,2360 (822-34-1504 34.83%),1650 (0.70),,
C,"Clarkson, Alastair",57y 27d,437 (236-5-196 54.58%),,47 (8-1-38 18.09%),
