Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
12,"Astbury, David",26y 132d,75 (29-2-44 40.00%),8 (0.11),←,
40,"Butler, Dan",21y 35d,13 (8-0-5 61.54%),17 (1.31),←,
22,"Caddy, Josh",24y 283d,109 (61-1-47 56.42%),86 (0.79),14 (9-0-5 64.29%),10 (0.71)
46,"Castagna, Jason",20y 361d,20 (10-0-10 50.00%),19 (0.95),←,
9,"Cotchin, Trent",27y 92d,188 (92-2-94 49.47%),112 (0.60),←,
10,"Edwards, Shane",28y 256d,197 (85-5-107 44.42%),135 (0.69),←,
5,"Ellis, Brandon",23y 339d,125 (67-1-57 54.00%),45 (0.36),←,
6,"Grigg, Shaun",29y 80d,182 (89-2-91 49.45%),87 (0.48),139 (71-2-66 51.80%),77 (0.55)
2,"Grimes, Dylan",25y 357d,94 (52-0-42 55.32%),3 (0.03),←,
28,"Hunt, Taylor",26y 245d,105 (72-0-33 68.57%),21 (0.20),42 (23-0-19 54.76%),2 (0.05)
23,"Lambert, Kane",25y 224d,42 (22-0-20 52.38%),21 (0.50),←,
27,"Lloyd, Sam",27y 127d,50 (24-0-26 48.00%),64 (1.28),←,
4,"Martin, Dustin",26y 12d,168 (81-2-85 48.81%),170 (1.01),←,
33,"McIntosh, Kamdyn",23y 96d,43 (24-0-19 55.81%),8 (0.19),←,
37,"Menadue, Connor",20y 292d,28 (15-0-13 53.57%),10 (0.36),←,
25,"Nankervis, Toby",22y 330d,26 (16-0-10 61.54%),8 (0.31),14 (9-0-5 64.29%),5 (0.36)
3,"Prestia, Dion",24y 269d,108 (35-0-73 32.41%),31 (0.29),13 (9-0-4 69.23%),1 (0.08)
18,"Rance, Alex",27y 272d,165 (77-2-86 47.27%),8 (0.05),←,
8,"Riewoldt, Jack",28y 250d,217 (98-4-115 46.08%),519 (2.39),←,
17,"Rioli, Daniel",20y 83d,33 (15-0-18 45.45%),26 (0.79),←,
15,"Short, Jayden",21y 165d,30 (14-0-16 46.67%),8 (0.27),←,
44,"Stengle, Tyson",18y 262d,2 (1-0-1 50.00%),2 (1.00),←,
Totals,Totals,24y 241d,2020 (987-21-1012 48.86%),1408 (0.70),,
C,"Hardwick, Damien",44y 324d,172 (83-2-87 48.84%),,←,
