Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
13,"Acres, Blake",29y 306d,185 (85-3-97 46.76%),65 (0.35),65 (32-1-32 50.00%),28 (0.43)
32,"Carroll, Matt",19y 254d,15 (6-0-9 40.00%),1 (0.07),←,
2,"Cowan, Lachlan",20y 251d,36 (15-1-20 43.06%),2 (0.06),←,
9,"Cripps, Patrick",30y 144d,228 (83-2-143 36.84%),125 (0.55),←,
12,"De Koning, Tom",26y 24d,98 (49-1-48 50.51%),35 (0.36),←,
19,"Durdin, Corey",23y 117d,62 (30-0-32 48.39%),48 (0.77),←,
44,"Evans, Francis",23y 351d,42 (27-0-15 64.29%),30 (0.71),8 (2-0-6 25.00%),8 (1.00)
8,"Fogarty, Lachie",26y 130d,89 (47-0-42 52.81%),36 (0.40),66 (34-0-32 51.52%),30 (0.45)
26,"Haynes, Nick",33y 83d,232 (107-4-121 46.98%),13 (0.06),21 (7-0-14 33.33%),
29,"Hewett, George",29y 223d,200 (113-1-86 56.75%),52 (0.26),80 (42-1-37 53.13%),20 (0.25)
4,"Hollands, Oliver",21y 205d,63 (30-1-32 48.41%),11 (0.17),←,
36,"Lord, Cooper",20y 142d,22 (8-0-14 36.36%),5 (0.23),←,
10,"McKay, Harry",27y 228d,138 (56-1-81 40.94%),266 (1.93),←,
43,"Moir, Ashton",20y 116d,9 (2-0-7 22.22%),9 (1.00),←,
3,"Motlop, Jesse",21y 259d,61 (25-1-35 41.80%),58 (0.95),←,
40,"OKeeffe, Hudson",20y 236d,3 (2-0-1 66.67%),1 (0.33),←,
42,"Saad, Adam",31y 17d,214 (94-3-117 44.63%),12 (0.06),105 (51-1-53 49.05%),4 (0.04)
23,"Weitering, Jacob",27y 259d,202 (75-1-126 37.38%),11 (0.05),←,
38,"White, Will",21y 144d,13 (6-0-7 46.15%),9 (0.69),←,
6,"Williams, Zac",30y 323d,172 (86-0-86 50.00%),66 (0.38),59 (27-0-32 45.76%),39 (0.66)
35,"Wilson, Billy",20y 54d,2 (0-0-2 0.00%),,←,
45,"Young, Flynn",23y 187d,6 (1-0-5 16.67%),1 (0.17),←,
33,"Young, Lewis",26y 232d,78 (37-1-40 48.08%),9 (0.12),54 (22-1-31 41.67%),8 (0.15)
Totals,Totals,25y 27d,2170 (984-20-1166 45.35%),865 (0.40),,
C,"Voss, Michael",50y 33d,201 (89-2-110 44.78%),,92 (46-1-45 50.54%),
