Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",26y 57d,121 (37-1-83 30.99%),102 (0.84),←,
15,"Anderson, Noah",23y 50d,85 (30-1-54 35.88%),31 (0.36),←,
31,"Andrew, Mac",20y 125d,22 (8-0-14 36.36%),,←,
10,"Ballard, Charlie",24y 259d,114 (35-1-78 31.14%),2 (0.02),←,
16,"Berry, Tom",22y 342d,30 (20-0-10 66.67%),5 (0.17),10 (5-0-5 50.00%),2 (0.20)
33,"Clohesy, Sam",21y 117d,1 (0-0-1 0.00%),1 (1.00),←,
25,"Collins, Sam",29y 297d,108 (39-1-68 36.57%),,94 (36-1-57 38.83%),
8,"Fiorini, Brayden",26y 229d,97 (27-1-69 28.35%),30 (0.31),←,
3,"Flanders, Sam",22y 258d,48 (15-1-32 32.29%),15 (0.31),←,
26,"Graham, Will",18y 255d,1 (0-0-1 0.00%),,←,
7,"Holman, Nick",28y 314d,114 (37-0-77 32.46%),66 (0.58),105 (36-0-69 34.29%),66 (0.63)
19,"Humphrey, Bailey",19y 209d,22 (10-0-12 45.45%),12 (0.55),←,
34,"King, Ben",23y 275d,77 (23-1-53 30.52%),139 (1.81),←,
13,"Lukosius, Jack",23y 242d,99 (32-1-66 32.83%),60 (0.61),←,
11,"Miller, Touk",28y 45d,177 (48-2-127 27.68%),51 (0.29),←,
27,"Powell, Wil",24y 225d,91 (34-1-56 37.91%),13 (0.14),←,
20,"Read, Ethan",18y 275d,1 (0-0-1 0.00%),1 (1.00),←,
41,"Rosas, Malcolm",22y 285d,41 (19-0-22 46.34%),40 (0.98),←,
18,"Rowell, Matt",22y 281d,66 (27-0-39 40.91%),19 (0.29),←,
24,"Swallow, David",31y 140d,224 (66-1-157 29.69%),101 (0.45),←,
32,"Uwland, Bodhi",20y 257d,7 (3-0-4 42.86%),,←,
17,"Walter, Jed",18y 304d,2 (0-0-2 0.00%),1 (0.50),←,
28,"Witts, Jarrod",31y 207d,168 (58-1-109 34.82%),33 (0.20),128 (40-1-87 31.64%),15 (0.12)
Totals,Totals,23y 362d,1716 (568-13-1135 33.10%),722 (0.42),,
C,"Hardwick, Damien",51y 233d,311 (172-6-133 56.27%),,4 (2-0-2 50.00%),
