Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",22y 223d,57 (11-1-45 20.18%),40 (0.70),←,
15,"Anderson, Noah",19y 216d,17 (5-1-11 32.35%),4 (0.24),←,
10,"Ballard, Charlie",21y 59d,48 (9-1-38 19.79%),1 (0.02),←,
3,"Bowes, Jack",22y 238d,59 (13-1-45 22.88%),13 (0.22),←,
25,"Collins, Sam",26y 97d,40 (11-1-28 28.75%),,26 (8-1-17 32.69%),
19,"Corbett, Josh",24y 150d,16 (1-1-14 9.38%),6 (0.38),←,
12,"Day, Sam",28y 14d,137 (37-2-98 27.74%),97 (0.71),←,
4,"Ellis, Brandon",27y 48d,192 (113-2-77 59.38%),63 (0.33),16 (4-1-11 28.13%),5 (0.31)
50,"Farrar, Jy",23y 288d,1 (0-0-1 0.00%),1 (1.00),←,
46,"Graham, Caleb",20y 8d,10 (1-0-9 10.00%),,←,
21,"Greenwood, Hugh",28y 198d,68 (35-2-31 52.94%),39 (0.57),17 (5-1-11 32.35%),3 (0.18)
5,"Harbrow, Jarrod",32y 64d,258 (88-3-167 34.69%),54 (0.21),188 (48-2-138 26.06%),33 (0.18)
34,"King, Ben",20y 75d,31 (5-1-25 17.74%),42 (1.35),←,
13,"Lukosius, Jack",20y 42d,38 (8-1-29 22.37%),6 (0.16),←,
11,"Miller, Touk",24y 211d,117 (25-2-90 22.22%),31 (0.26),←,
27,"Powell, Wil",21y 25d,35 (9-1-25 27.14%),11 (0.31),←,
22,"Rankine, Izak",20y 150d,12 (2-1-9 20.83%),12 (1.00),←,
6,"Sexton, Alex",26y 292d,133 (33-0-100 24.81%),129 (0.97),←,
37,"Sharp, Jeremy",19y 38d,2 (0-0-2 0.00%),,←,
24,"Swallow, David",27y 306d,154 (38-1-115 25.00%),72 (0.47),←,
14,"Weller, Lachie",24y 210d,103 (25-1-77 24.76%),35 (0.34),56 (11-1-44 20.54%),18 (0.32)
28,"Witts, Jarrod",28y 7d,119 (36-1-82 30.67%),25 (0.21),79 (18-1-60 23.42%),7 (0.09)
Totals,Totals,24y 18d,1647 (505-24-1118 30.66%),681 (0.41),,
C,"Dew, Stuart",41y 33d,61 (12-1-48 20.49%),,←,
