Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
22,"Addison, Dylan",25y 252d,81 (42-1-38 52.47%),24 (0.30),←,
5,"Boyd, Matthew",30y 293d,214 (99-2-113 46.73%),73 (0.34),←,
17,"Cooney, Adam",27y 259d,191 (94-2-95 49.74%),163 (0.85),←,
6,"Dahlhaus, Luke",20y 299d,39 (13-0-26 33.33%),34 (0.87),←,
13,"Giansiracusa, Daniel",31y 97d,239 (107-4-128 45.61%),294 (1.23),←,
44,"Goodes, Brett",29y 119d,9 (3-0-6 33.33%),1 (0.11),←,
16,"Griffen, Ryan",26y 324d,172 (87-1-84 50.87%),114 (0.66),←,
39,"Johannisen, Jason",20y 220d,13 (3-0-10 23.08%),3 (0.23),←,
19,"Jones, Liam",22y 112d,48 (18-0-30 37.50%),47 (0.98),←,
21,"Liberatore, Tom",21y 31d,44 (13-0-31 29.55%),9 (0.20),←,
33,"Lower, Nick",25y 358d,53 (19-0-34 35.85%),11 (0.21),11 (3-0-8 27.27%),2 (0.18)
11,"Macrae, Jack",18y 317d,7 (2-0-5 28.57%),2 (0.29),←,
37,"Markovic, Lukas",26y 162d,28 (7-0-21 25.00%),5 (0.18),←,
27,"Minson, Will",28y 66d,147 (72-1-74 49.32%),68 (0.46),←,
38,"Morris, Dale",30y 169d,162 (88-2-72 54.94%),3 (0.02),←,
2,"Murphy, Robert",31y 7d,238 (103-4-131 44.12%),164 (0.69),←,
42,"Picken, Liam",26y 319d,98 (44-0-54 44.90%),29 (0.30),←,
23,"Roughead, Jordan",22y 225d,46 (17-0-29 36.96%),12 (0.26),←,
14,"Smith, Clay",20y 36d,26 (6-0-20 23.08%),13 (0.50),←,
25,"Stevens, Koby",21y 363d,21 (7-0-14 33.33%),7 (0.33),10 (3-0-7 30.00%),5 (0.50)
9,"Stringer, Jake",19y 52d,7 (2-0-5 28.57%),9 (1.29),←,
32,"Talia, Michael",20y 125d,6 (1-0-5 16.67%),1 (0.17),←,
Totals,Totals,24y 341d,1889 (847-17-1025 44.84%),1086 (0.57),,
C,"McCartney, Brendan",52y 236d,33 (8-0-25 24.24%),,←,
