Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
44,"Bail, Rohan",27y 8d,70 (17-1-52 25.00%),28 (0.40),←,
10,"Brayshaw, Angus",19y 176d,13 (4-0-9 30.77%),4 (0.31),←,
18,"Cross, Daniel",32y 96d,240 (106-3-131 44.79%),34 (0.14),30 (8-0-22 26.67%),1 (0.03)
6,"Dawes, Chris",27y 49d,108 (61-1-46 56.94%),120 (1.11),37 (7-0-30 18.92%),37 (1.00)
14,"Dunn, Lynden",28y 51d,152 (38-2-112 25.66%),95 (0.63),←,
20,"Garland, Colin",27y 67d,126 (28-2-96 23.02%),16 (0.13),←,
36,"Garlett, Jeff",25y 335d,120 (61-1-58 51.25%),209 (1.74),13 (4-0-9 30.77%),26 (2.00)
11,"Gawn, Max",23y 186d,30 (6-0-24 20.00%),13 (0.43),←,
1,"Hogan, Jesse",20y 142d,11 (3-0-8 27.27%),23 (2.09),←,
38,"Howe, Jeremy",25y 5d,91 (19-0-72 20.88%),77 (0.85),←,
39,"Jetta, Neville",25y 142d,66 (14-2-50 22.73%),20 (0.30),←,
45,"Jones, Matt",27y 259d,48 (8-0-40 16.67%),10 (0.21),←,
2,"Jones, Nathan",27y 165d,192 (45-3-144 24.22%),90 (0.47),←,
25,"McDonald, Tom",22y 289d,73 (15-0-58 20.55%),4 (0.05),←,
30,"Neal-Bullen, Alex",19y 176d,3 (1-0-2 33.33%),5 (1.67),←,
42,"Spencer, Jake",25y 268d,35 (5-0-30 14.29%),6 (0.17),←,
15,"Stretch, Billy",18y 299d,5 (1-0-4 20.00%),2 (0.40),←,
5,"Toumpas, Jimmy",21y 183d,27 (5-0-22 18.52%),6 (0.22),←,
12,"Tyson, Dom",22y 26d,45 (8-0-37 17.78%),24 (0.53),32 (7-0-25 21.88%),20 (0.63)
23,"Vince, Bernie",29y 275d,163 (75-0-88 46.01%),100 (0.61),34 (7-0-27 20.59%),20 (0.59)
7,"Viney, Jack",21y 82d,40 (7-0-33 17.50%),10 (0.25),←,
4,"Watts, Jack",24y 100d,107 (26-2-79 25.23%),78 (0.73),←,
Totals,Totals,24y 237d,1765 (553-17-1195 31.33%),974 (0.55),,
C,"Roos, Paul",52y 7d,237 (124-2-111 52.74%),,35 (8-0-27 22.86%),
