Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
24,"Bryan, Nick",23y 143d,20 (5-0-15 25.00%),2 (0.10),←,
30,"Caddy, Nate",19y 243d,11 (4-0-7 36.36%),9 (0.82),←,
6,"Caldwell, Jye",24y 167d,79 (31-1-47 39.87%),27 (0.34),68 (28-1-39 41.91%),26 (0.38)
2,"Draper, Sam",26y 167d,74 (27-1-46 37.16%),37 (0.50),←,
22,"Durham, Sam",23y 248d,72 (32-1-39 45.14%),21 (0.29),←,
28,"Duursma, Xavier",24y 250d,89 (55-1-33 62.36%),44 (0.49),16 (8-1-7 53.13%),11 (0.69)
11,"Gresham, Jade",27y 202d,159 (74-2-83 47.17%),156 (0.98),23 (10-1-12 45.65%),20 (0.87)
8,"Hobbs, Ben",21y 179d,48 (19-1-28 40.63%),16 (0.33),←,
23,"Jones, Harry",24y 17d,53 (26-1-26 50.00%),54 (1.02),←,
10,"Kako, Isaac",19y 7d,1 (0-0-1 0.00%),1 (1.00),←,
4,"Langford, Kyle",28y 103d,154 (65-2-87 42.86%),173 (1.12),←,
37,"Martin, Nic",23y 345d,68 (29-1-38 43.38%),51 (0.75),←,
1,"McGrath, Andrew",26y 285d,158 (74-2-82 47.47%),20 (0.13),←,
32,"McKay, Ben",27y 80d,95 (19-2-74 21.05%),1 (0.01),24 (11-1-12 47.92%),
7,"Merrett, Zach",29y 162d,230 (99-3-128 43.70%),80 (0.35),←,
16,"Perkins, Archie",22y 353d,81 (34-0-47 41.98%),49 (0.60),←,
25,"Prior, Jaxon",23y 283d,40 (28-1-11 71.25%),11 (0.28),1 (0-0-1 0.00%),
27,"Redman, Mason",27y 200d,125 (57-2-66 46.40%),20 (0.16),←,
31,"Reid, Zach",23y 12d,10 (2-0-8 20.00%),,←,
14,"Ridley, Jordan",26y 145d,95 (39-1-55 41.58%),2 (0.02),←,
21,"Roberts, Archie",19y 116d,5 (1-0-4 20.00%),1 (0.20),←,
9,"Shiel, Dylan",32y 5d,221 (93-4-124 42.99%),91 (0.41),86 (34-1-51 40.12%),27 (0.31)
5,"Tsatas, Elijah",20y 147d,12 (6-0-6 50.00%),2 (0.17),←,
Totals,Totals,24y 215d,1900 (819-26-1055 43.11%),868 (0.46),,
C,"Scott, Brad",48y 315d,258 (128-1-129 49.81%),,47 (22-1-24 47.87%),
