North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
27,"Bergman, Miller",20y 123d,8 (2-0-6 25.00%),,←,
21,"Coleman-Jones, Callum",23y 349d,22 (5-1-16 25.00%),18 (0.82),13 (1-0-12 7.69%),7 (0.54)
25,"Curtis, Paul",20y 85d,25 (3-0-22 12.00%),18 (0.72),←,
40,"Ford, Eddie",20y 341d,10 (0-0-10 0.00%),5 (0.50),←,
22,"Goldstein, Todd",34y 331d,305 (129-2-174 42.62%),154 (0.50),←,
18,"Greenwood, Hugh",31y 83d,112 (44-2-66 40.18%),48 (0.43),29 (4-0-25 13.79%),3 (0.10)
43,"Hall, Aaron",32y 200d,159 (42-2-115 27.04%),94 (0.59),56 (9-1-46 16.96%),18 (0.32)
15,"Howe, Daniel",27y 175d,104 (47-3-54 46.63%),23 (0.22),8 (1-0-7 12.50%),1 (0.13)
20,"Larkey, Nick",24y 356d,82 (19-1-62 23.78%),150 (1.83),←,
35,"Lazzaro, Charlie",21y 64d,26 (4-0-22 15.38%),3 (0.12),←,
19,"Logue, Griffin",25y 45d,74 (30-1-43 41.22%),10 (0.14),10 (2-0-8 20.00%),1 (0.10)
11,"McDonald, Luke",28y 108d,170 (67-0-103 39.41%),17 (0.10),←,
23,"McKay, Ben",25y 155d,59 (7-1-51 12.71%),1 (0.02),←,
29,"Phillips, Will",21y 6d,23 (5-0-18 21.74%),5 (0.22),←,
24,"Powell, Tom",21y 87d,40 (5-1-34 13.75%),13 (0.32),←,
8,"Scott, Bailey",22y 323d,66 (8-1-57 12.88%),24 (0.36),←,
3,"Sheezel, Harry",18y 227d,11 (2-0-9 18.18%),3 (0.27),←,
12,"Simpkin, Jy",25y 84d,125 (36-1-88 29.20%),46 (0.37),←,
36,"Spicer, Phoenix",21y 118d,9 (1-0-8 11.11%),1 (0.11),←,
2,"Stephenson, Jaidyn",24y 133d,100 (40-1-59 40.50%),113 (1.13),46 (6-1-39 14.13%),37 (0.80)
6,"Wardlaw, George",18y 351d,2 (0-0-2 0.00%),,←,
7,"Ziebell, Jack",32y 89d,269 (112-1-156 41.82%),182 (0.68),←,
44,"Zurhaar, Cameron",25y 6d,93 (24-1-68 26.34%),127 (1.37),←,
Totals,Totals,24y 246d,1894 (632-19-1243 33.37%),1055 (0.56),,
C,"Ratten, Brett",51y 321d,190 (94-1-95 49.74%),,2 (0-0-2 0.00%),
