St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",24y 98d,87 (34-1-52 39.66%),18 (0.21),←,
14,"Ball, Luke",20y 95d,38 (25-0-13 65.79%),24 (0.63),←,
27,"Blake, Jason",23y 166d,56 (23-1-32 41.96%),12 (0.21),←,
3,"Clarke, Xavier",20y 335d,55 (25-1-29 46.36%),29 (0.53),←,
26,"Dal Santo, Nick",20y 188d,48 (24-1-23 51.04%),23 (0.48),←,
9,"Gehrig, Fraser",28y 178d,188 (95-1-92 50.80%),319 (1.70),73 (32-0-41 43.84%),160 (2.19)
18,"Goddard, Brendon",19y 100d,39 (25-0-14 64.10%),10 (0.26),←,
2,"Hamill, Aaron",27y 8d,169 (80-0-89 47.34%),213 (1.26),77 (31-0-46 40.26%),99 (1.29)
7,"Hayes, Lenny",24y 227d,113 (43-2-68 38.94%),44 (0.39),←,
8,"Hudghton, Max",27y 361d,150 (62-2-86 42.00%),14 (0.09),←,
5,"Jones, Austinn",27y 335d,201 (88-2-111 44.28%),121 (0.60),←,
33,"Knobel, Trent",24y 97d,51 (29-1-21 57.84%),7 (0.14),38 (20-1-17 53.95%),7 (0.18)
23,"Koschitzke, Justin",21y 343d,55 (24-0-31 43.64%),35 (0.64),←,
31,"Maguire, Matt",20y 90d,43 (21-0-22 48.84%),9 (0.21),←,
44,"Milne, Stephen",24y 173d,71 (26-1-44 37.32%),145 (2.04),←,
28,"Montagna, Leigh",20y 300d,22 (13-0-9 59.09%),21 (0.95),←,
19,"Penny, Luke",23y 202d,68 (37-0-31 54.41%),6 (0.09),33 (22-0-11 66.67%),1 (0.03)
17,"Powell, Stephen",27y 356d,114 (70-1-43 61.84%),90 (0.79),40 (24-0-16 60.00%),26 (0.65)
12,"Riewoldt, Nick",21y 316d,72 (33-1-38 46.53%),113 (1.57),←,
40,"Schwarze, Troy",22y 249d,52 (21-1-30 41.35%),8 (0.15),←,
4,"Thompson, Andrew",31y 312d,169 (72-2-95 43.20%),89 (0.53),←,
13,"Voss, Brett",26y 188d,109 (49-2-58 45.87%),33 (0.30),74 (30-1-43 41.22%),22 (0.30)
Totals,Totals,24y 48d,1970 (919-20-1031 46.65%),1383 (0.70),,
C,"Thomas, Grant",46y 196d,73 (33-1-39 45.89%),,←,
