Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
31,"Bannister, Jordan",23y 235d,40 (16-1-23 41.25%),5 (0.13),26 (8-0-18 30.77%),5 (0.19)
40,"Bentick, Adam",21y 10d,26 (7-0-19 26.92%),5 (0.19),←,
19,"Betts, Eddie",19y 209d,30 (6-1-23 21.67%),29 (0.97),←,
13,"Blackwell, Luke",19y 226d,3 (0-0-3 0.00%),1 (0.33),←,
44,"Carrazzo, Andrew",22y 190d,31 (8-1-22 27.42%),7 (0.23),←,
26,"De Luca, Adrian",24y 39d,41 (14-1-26 35.37%),18 (0.44),←,
25,"Fevola, Brendan",25y 154d,113 (41-1-71 36.73%),292 (2.58),←,
11,"French, Barnaby",30y 210d,123 (50-2-71 41.46%),35 (0.28),61 (16-1-44 27.05%),15 (0.25)
33,"Houlihan, Ryan",24y 153d,126 (42-1-83 33.73%),82 (0.65),←,
12,"Lappin, Matthew",30y 126d,226 (94-2-130 42.04%),224 (0.99),171 (66-1-104 38.89%),198 (1.16)
20,"McGrath, Cory",27y 139d,69 (30-1-38 44.20%),18 (0.26),41 (12-1-28 30.49%),4 (0.10)
10,"McLaren, Dylan",24y 46d,57 (33-0-24 57.89%),10 (0.18),11 (2-0-9 18.18%),4 (0.36)
3,"Murphy, Marc",18y 339d,12 (2-0-10 16.67%),8 (0.67),←,
2,"Russell, Jordan",19y 229d,5 (0-0-5 0.00%),,←,
29,"Scotland, Heath",25y 337d,106 (39-0-67 36.79%),35 (0.33),53 (16-0-37 30.19%),23 (0.43)
6,"Simpson, Kade",22y 49d,33 (9-0-24 27.27%),15 (0.45),←,
24,"Stevens, Nick",26y 171d,181 (89-3-89 50.00%),107 (0.59),54 (15-1-38 28.70%),29 (0.54)
15,"Teague, David",25y 49d,82 (32-1-49 39.63%),6 (0.07),49 (14-1-34 29.59%),2 (0.04)
32,"Thornton, Bret",22y 220d,81 (20-0-61 24.69%),1 (0.01),←,
1,"Walker, Andrew",20y 36d,45 (11-1-33 25.56%),11 (0.24),←,
8,"Whitnall, Lance",26y 304d,191 (84-1-106 44.24%),321 (1.68),←,
34,"Wiggins, Simon",23y 285d,70 (19-1-50 27.86%),18 (0.26),←,
Totals,Totals,23y 304d,1691 (646-18-1027 38.20%),1248 (0.74),,
C,"Pagan, Denis",58y 272d,318 (170-1-147 53.62%),,78 (20-1-57 26.28%),
