Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",32y 56d,288 (153-2-133 53.47%),378 (1.31),96 (29-0-67 30.21%),116 (1.21)
13,"Ah Chee, Callum",18y 274d,9 (4-0-5 44.44%),7 (0.78),←,
39,"Davis, Ryan",27y 32d,26 (8-0-18 30.77%),14 (0.54),12 (5-0-7 41.67%),10 (0.83)
12,"Day, Sam",23y 307d,91 (28-1-62 31.32%),57 (0.63),←,
41,"Garlett, Jarrod",20y 67d,11 (3-0-8 27.27%),7 (0.64),←,
33,"Hall, Aaron",25y 243d,74 (27-1-46 37.16%),63 (0.85),←,
5,"Harbrow, Jarrod",27y 357d,178 (71-2-105 40.45%),51 (0.29),108 (31-1-76 29.17%),30 (0.28)
38,"Joyce, Jesse",18y 327d,5 (2-0-3 40.00%),,←,
28,"Kolodjashnij, Kade",20y 335d,52 (15-1-36 29.81%),10 (0.19),←,
19,"Lynch, Tom",23y 252d,95 (27-1-67 28.95%),172 (1.81),←,
7,"Malceski, Nick",31y 329d,207 (124-3-80 60.63%),74 (0.36),31 (8-1-22 27.42%),7 (0.23)
4,"Martin, Jack",21y 162d,37 (12-1-24 33.78%),33 (0.89),←,
32,"Matera, Brandon",24y 120d,84 (25-1-58 30.36%),93 (1.11),←,
17,"May, Steven",24y 181d,81 (27-1-53 33.95%),17 (0.21),←,
11,"Miller, Touk",20y 138d,33 (7-1-25 22.73%),10 (0.30),←,
22,"Nicholls, Tom",24y 127d,41 (14-1-26 35.37%),6 (0.15),←,
10,"Prestia, Dion",23y 271d,95 (26-0-69 27.37%),30 (0.32),←,
35,"Rischitelli, Michael",30y 183d,211 (76-3-132 36.73%),87 (0.41),100 (27-0-73 27.00%),40 (0.40)
6,"Sexton, Alex",22y 219d,49 (14-0-35 28.57%),29 (0.59),←,
26,"Shaw, Matt",24y 155d,93 (25-1-67 27.42%),31 (0.33),←,
16,"Thompson, Rory",25y 119d,72 (23-1-48 32.64%),7 (0.10),←,
30,"Wright, Peter",19y 305d,13 (2-0-11 15.38%),20 (1.54),←,
Totals,Totals,24y 74d,1845 (713-21-1111 38.64%),1196 (0.65),,
C,"Eade, Rodney",58y 96d,351 (178-5-168 51.42%),,37 (9-1-27 25.68%),
