Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
3,"Berry, Sam",23y 66d,58 (21-0-37 36.21%),12 (0.21),←,
5,"Crouch, Matt",29y 363d,163 (85-2-76 52.76%),31 (0.19),←,
44,"Cumming, Isaac",26y 251d,87 (42-1-44 48.85%),12 (0.14),6 (4-0-2 66.67%),2 (0.33)
6,"Curtin, Daniel",20y 42d,13 (6-1-6 50.00%),7 (0.54),←,
12,"Dawson, Jordan",28y 10d,137 (61-1-75 44.89%),62 (0.45),73 (31-1-41 43.15%),28 (0.38)
34,"Draper, Sid",18y 288d,6 (4-0-2 66.67%),3 (0.50),←,
32,"Fogarty, Darcy",25y 206d,108 (40-1-67 37.50%),174 (1.61),←,
20,"Hinge, Mitch",26y 297d,71 (30-1-40 42.96%),8 (0.11),68 (28-1-39 41.91%),7 (0.10)
48,"Keane, Mark",25y 33d,37 (16-1-20 44.59%),,32 (15-1-16 48.44%),
2,"Keays, Ben",28y 55d,142 (47-1-94 33.45%),104 (0.73),112 (41-1-70 37.05%),93 (0.83)
29,"Laird, Rory",31y 111d,253 (125-2-126 49.80%),30 (0.12),←,
16,"Michalanney, Max",21y 52d,51 (23-1-27 46.08%),1 (0.02),←,
30,"Milera, Wayne",27y 217d,105 (54-1-50 51.90%),30 (0.29),←,
9,"Murray, Nick",24y 122d,58 (21-0-37 36.21%),1 (0.02),←,
27,"Nankervis, Luke",21y 329d,27 (11-1-15 42.59%),1 (0.04),←,
28,"Neal-Bullen, Alex",29y 100d,182 (105-1-76 57.97%),121 (0.66),6 (4-0-2 66.67%),5 (0.83)
43,"OBrien, Reilly",29y 242d,127 (51-1-75 40.55%),14 (0.11),←,
23,"Rankine, Izak",24y 361d,89 (34-2-53 39.33%),129 (1.45),41 (18-1-22 45.12%),72 (1.76)
14,"Soligo, Jake",22y 84d,66 (28-1-37 43.18%),26 (0.39),←,
19,"Taylor, Zac",22y 78d,11 (5-0-6 45.45%),5 (0.45),←,
7,"Thilthorpe, Riley",22y 286d,59 (23-0-36 38.98%),75 (1.27),←,
13,"Walker, Taylor",34y 359d,284 (143-2-139 50.70%),655 (2.31),←,
24,"Worrell, Josh",24y 8d,36 (18-1-17 51.39%),,←,
Totals,Totals,25y 220d,2170 (993-22-1155 45.76%),1501 (0.69),,
C,"Nicks, Matthew",49y 341d,112 (41-1-70 37.05%),,←,
