Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",24y 346d,122 (49-1-72 40.57%),67 (0.55),←,
5,"Broadbent, Matthew",22y 346d,70 (22-1-47 32.14%),36 (0.51),←,
11,"Butcher, John",22y 10d,16 (4-0-12 25.00%),26 (1.63),←,
27,"Carlile, Alipate",26y 74d,125 (48-1-76 38.80%),5 (0.04),←,
18,"Cornes, Kane",30y 189d,260 (129-2-129 50.00%),90 (0.35),←,
7,"Ebert, Brad",23y 102d,113 (41-1-71 36.73%),55 (0.49),37 (13-1-23 36.49%),22 (0.59)
9,"Gray, Robbie",25y 105d,82 (30-0-52 36.59%),113 (1.38),←,
8,"Hartlett, Hamish",22y 333d,61 (20-1-40 33.61%),30 (0.49),←,
42,"Jonas, Tom",22y 185d,28 (10-1-17 37.50%),,←,
23,"Lobbe, Matthew",24y 151d,34 (12-0-22 35.29%),7 (0.21),←,
44,"Logan, Tom",28y 11d,111 (35-1-75 31.98%),25 (0.23),108 (35-1-72 32.87%),25 (0.23)
6,"Monfries, Angus",26y 175d,165 (66-3-96 40.91%),189 (1.15),15 (8-0-7 53.33%),24 (1.60)
26,"Moore, Andrew",22y 44d,32 (12-0-20 37.50%),10 (0.31),←,
32,"Neade, Jake",19y 45d,14 (8-0-6 57.14%),10 (0.71),←,
13,"OShea, Cameron",21y 122d,37 (12-0-25 32.43%),7 (0.19),←,
29,"Pittard, Jasper",22y 103d,22 (9-0-13 40.91%),3 (0.14),←,
28,"Schulz, Jay",28y 86d,133 (47-3-83 36.47%),193 (1.45),62 (23-1-38 37.90%),135 (2.18)
14,"Stewart, Paul",26y 3d,74 (26-0-48 35.14%),29 (0.39),←,
21,"Thomas, Matt",26y 136d,87 (27-1-59 31.61%),30 (0.34),←,
12,"Trengove, Jackson",22y 253d,69 (20-1-48 29.71%),7 (0.10),←,
16,"Wines, Ollie",18y 279d,15 (8-0-7 53.33%),5 (0.33),←,
20,"Wingard, Chad",19y 349d,34 (13-1-20 39.71%),36 (1.06),←,
Totals,Totals,23y 339d,1704 (648-18-1038 38.03%),973 (0.57),,
C,"Hinkley, Ken",46y 286d,14 (8-0-6 57.14%),,←,
