Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
30,"Bourke, David",24y 67d,58 (31-0-27 53.45%),13 (0.22),←,
11,"Bowden, Joel",21y 269d,60 (31-0-29 51.67%),59 (0.98),←,
15,"Cameron, Leon",27y 196d,174 (94-3-77 54.89%),68 (0.39),2 (1-0-1 50.00%),
9,"Campbell, Wayne",27y 175d,185 (84-1-100 45.68%),110 (0.59),←,
10,"Daffy, Nick",26y 310d,135 (70-1-64 52.22%),164 (1.21),←,
7,"Dragicevic, Marc",18y 352d,19 (8-0-11 42.11%),8 (0.42),←,
25,"Gale, Brendon",31y 242d,204 (87-1-116 42.89%),184 (0.90),←,
2,"Gaspar, Darren",23y 301d,106 (48-0-58 45.28%),9 (0.08),85 (41-0-44 48.24%),8 (0.09)
20,"Harrison, Ben",25y 59d,64 (32-0-32 50.00%),36 (0.56),62 (30-0-32 48.39%),36 (0.58)
16,"Holland, Ben",22y 311d,67 (33-0-34 49.25%),82 (1.22),←,
23,"James, Aaron",23y 137d,42 (17-2-23 42.86%),15 (0.36),19 (8-0-11 42.11%),9 (0.47)
39,"Kellaway, Andrew",24y 114d,36 (17-0-19 47.22%),2 (0.06),←,
3,"Kellaway, Duncan",27y 28d,133 (66-1-66 50.00%),8 (0.06),←,
21,"King, Clinton",21y 358d,33 (11-0-22 33.33%),13 (0.39),2 (1-0-1 50.00%),
33,"Knights, Matthew",29y 163d,218 (88-0-130 40.37%),116 (0.53),←,
8,"Merenda, Mark",24y 139d,75 (42-0-33 56.00%),62 (0.83),←,
5,"Ottens, Brad",20y 51d,36 (17-0-19 47.22%),25 (0.69),←,
4,"Rogers, Matthew",26y 112d,122 (63-1-58 52.05%),85 (0.70),←,
35,"Rombotis, John",23y 155d,48 (9-0-39 18.75%),23 (0.48),13 (5-0-8 38.46%),2 (0.15)
24,"Sampson, Clay",24y 21d,56 (28-0-28 50.00%),32 (0.57),19 (7-0-12 36.84%),15 (0.79)
32,"Tivendale, Greg",20y 332d,14 (5-0-9 35.71%),9 (0.64),←,
29,"Torney, Jason",22y 274d,55 (27-1-27 50.00%),5 (0.09),←,
Totals,Totals,24y 173d,1940 (908-11-1021 46.80%),1128 (0.58),,
C,"Frawley, Danny",36y 190d,2 (1-0-1 50.00%),,←,
