Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
35,"Akermanis, Jason",18y 177d,14 (6-0-8 42.86%),11 (0.79),←,
10,"Ashcroft, Marcus",23y 329d,124 (34-1-89 27.82%),71 (0.57),←,
25,"Bews, Andrew",31y 32d,243 (125-1-117 51.65%),133 (0.55),36 (15-0-21 41.67%),1 (0.03)
1,"Champion, Richard",27y 128d,91 (25-1-65 28.02%),32 (0.35),←,
5,"Chapman, Nathan",20y 105d,40 (10-0-30 25.00%),12 (0.30),←,
16,"Clarke, Matthew",21y 336d,41 (17-0-24 41.46%),3 (0.07),←,
6,"Fletcher, Adrian",25y 314d,104 (45-0-59 43.27%),54 (0.52),59 (20-0-39 33.90%),34 (0.58)
42,"Green, Brent",19y 144d,1 (1-0-0 100.00%),,←,
32,"Hart, Shaun",24y 95d,79 (20-1-58 25.95%),51 (0.65),←,
18,"Lambert, Craig",26y 319d,150 (43-0-107 28.67%),61 (0.41),27 (10-0-17 37.04%),8 (0.30)
44,"Lappin, Nigel",19y 60d,33 (13-0-20 39.39%),22 (0.67),←,
23,"Leppitsch, Justin",19y 323d,22 (7-0-15 31.82%),13 (0.59),←,
2,"McAdam, Gilbert",28y 143d,89 (46-1-42 52.25%),78 (0.88),36 (16-0-20 44.44%),30 (0.83)
7,"McIvor, Scott",29y 11d,181 (65-0-116 35.91%),89 (0.49),126 (39-0-87 30.95%),74 (0.59)
19,"McLean, Michael",30y 170d,175 (70-2-103 40.57%),40 (0.23),80 (23-0-57 28.75%),17 (0.21)
4,"McRae, Craig",21y 332d,20 (8-0-12 40.00%),21 (1.05),←,
24,"Merrett, Roger",35y 123d,293 (137-3-153 47.27%),403 (1.38),144 (40-1-103 28.13%),255 (1.77)
22,"Scott, Chris",19y 109d,30 (11-0-19 36.67%),17 (0.57),←,
38,"Scott, Dion",25y 141d,41 (15-0-26 36.59%),26 (0.63),35 (14-0-21 40.00%),26 (0.74)
3,"Voss, Michael",20y 44d,52 (19-0-33 36.54%),43 (0.83),←,
33,"White, Darryl",22y 69d,65 (21-1-43 33.08%),67 (1.03),←,
Totals,Totals,24y 115d,1888 (738-11-1139 39.09%),1247 (0.66),,
C,"Walls, Robert",45y 30d,305 (143-2-160 47.21%),,106 (28-1-77 26.89%),
