St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",22y 311d,49 (11-1-37 23.47%),13 (0.27),←,
14,"Ball, Luke",18y 308d,1 (0-0-1 0.00%),1 (1.00),←,
6,"Black, Heath",23y 305d,88 (21-0-67 23.86%),41 (0.47),19 (3-0-16 15.79%),6 (0.32)
27,"Blake, Jason",22y 14d,31 (6-1-24 20.97%),6 (0.19),←,
24,"Brooks, Barry",19y 95d,1 (0-0-1 0.00%),,←,
3,"Burke, Nathan",33y 51d,306 (128-3-175 42.32%),118 (0.39),←,
16,"Capuano, Mathew",27y 208d,102 (63-1-38 62.25%),37 (0.36),20 (3-1-16 17.50%),13 (0.65)
20,"Clarke, Xavier",19y 182d,17 (2-1-14 14.71%),9 (0.53),←,
9,"Gehrig, Fraser",27y 26d,148 (69-1-78 46.96%),175 (1.18),33 (6-0-27 18.18%),16 (0.48)
35,"Harvey, Robert",31y 220d,256 (119-3-134 47.07%),149 (0.58),←,
7,"Hayes, Lenny",23y 74d,72 (18-2-52 26.39%),28 (0.39),←,
8,"Hudghton, Max",26y 208d,120 (45-2-73 38.33%),10 (0.08),←,
5,"Jones, Austinn",26y 182d,158 (61-2-95 39.24%),112 (0.71),←,
31,"Maguire, Matt",18y 303d,13 (2-0-11 15.38%),2 (0.15),←,
44,"Milne, Stephen",23y 21d,39 (8-1-30 21.79%),81 (2.08),←,
43,"Moyle, Brett",22y 363d,40 (8-0-32 20.00%),10 (0.25),←,
19,"Penny, Luke",22y 49d,36 (15-0-21 41.67%),5 (0.14),1 (0-0-1 0.00%),
17,"Powell, Stephen",26y 203d,75 (46-1-28 62.00%),65 (0.87),1 (0-0-1 0.00%),1 (1.00)
12,"Riewoldt, Nick",20y 163d,29 (6-1-22 22.41%),23 (0.79),←,
40,"Schwarze, Troy",21y 96d,28 (6-1-21 23.21%),6 (0.21),←,
4,"Thompson, Andrew",30y 159d,132 (49-2-81 37.88%),77 (0.58),←,
30,"Wulf, Daniel",22y 314d,25 (3-1-21 14.00%),13 (0.52),←,
Totals,Totals,24y 42d,1766 (686-24-1056 38.84%),981 (0.56),,
C,"Thomas, Grant",45y 43d,30 (6-1-23 21.67%),,←,
