Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
13,"Acres, Blake",27y 231d,130 (56-3-71 44.23%),39 (0.30),10 (3-1-6 35.00%),2 (0.20)
37,"Boyd, Jordan",24y 246d,9 (4-0-5 44.44%),,←,
5,"Cerra, Adam",23y 231d,105 (46-1-58 44.29%),24 (0.23),29 (14-1-14 50.00%),8 (0.28)
46,"Cottrell, Matthew",23y 87d,40 (18-0-22 45.00%),15 (0.38),←,
9,"Cripps, Patrick",28y 69d,170 (53-2-115 31.76%),88 (0.52),←,
30,"Curnow, Charlie",26y 112d,95 (27-1-67 28.95%),180 (1.89),←,
35,"Curnow, Ed",33y 200d,215 (79-3-133 37.44%),52 (0.24),←,
12,"De Koning, Tom",23y 314d,47 (22-1-24 47.87%),14 (0.30),←,
15,"Docherty, Sam",29y 221d,153 (56-2-95 37.25%),20 (0.13),140 (50-2-88 36.43%),19 (0.14)
19,"Durdin, Corey",21y 42d,33 (16-0-17 48.48%),26 (0.79),←,
29,"Hewett, George",27y 148d,145 (83-1-61 57.59%),37 (0.26),25 (12-1-12 50.00%),5 (0.20)
14,"Hollands, Oliver",19y 130d,11 (4-1-6 40.91%),2 (0.18),←,
17,"Kemp, Brodie",22y 25d,9 (4-0-5 44.44%),1 (0.11),←,
7,"Kennedy, Matthew",26y 50d,87 (39-3-45 46.55%),38 (0.44),68 (28-1-39 41.91%),31 (0.46)
11,"McGovern, Mitch",28y 227d,98 (51-2-45 53.06%),104 (1.06),50 (17-1-32 35.00%),37 (0.74)
10,"McKay, Harry",25y 153d,97 (35-1-61 36.60%),188 (1.94),←,
3,"Motlop, Jesse",19y 184d,22 (8-1-13 38.64%),22 (1.00),←,
24,"Newman, Nic",30y 131d,97 (48-1-48 50.00%),15 (0.15),66 (28-1-37 43.18%),7 (0.11)
44,"Owies, Matthew",26y 68d,37 (18-1-18 50.00%),40 (1.08),←,
27,"Pittonet, Marc",26y 357d,51 (22-0-29 43.14%),5 (0.10),44 (17-0-27 38.64%),5 (0.11)
42,"Saad, Adam",28y 307d,162 (66-3-93 41.67%),10 (0.06),53 (23-1-29 44.34%),2 (0.04)
18,"Walsh, Sam",22y 328d,88 (34-0-54 38.64%),34 (0.39),←,
23,"Weitering, Jacob",25y 184d,144 (46-1-97 32.29%),11 (0.08),←,
Totals,Totals,25y 255d,2045 (835-28-1182 40.83%),965 (0.47),,
C,"Voss, Michael",47y 323d,141 (58-2-81 41.84%),,32 (15-1-16 48.44%),
