Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
12,"Astbury, David",24y 65d,40 (14-2-24 37.50%),8 (0.20),←,
11,"Batchelor, Jake",23y 78d,57 (28-2-27 50.88%),3 (0.05),←,
25,"Chaplin, Troy",29y 68d,189 (84-1-104 44.71%),13 (0.07),49 (29-0-20 59.18%),3 (0.06)
9,"Cotchin, Trent",25y 25d,136 (64-2-70 47.79%),81 (0.60),←,
10,"Edwards, Shane",26y 189d,156 (63-5-88 41.99%),105 (0.67),←,
5,"Ellis, Brandon",21y 272d,70 (37-1-32 53.57%),26 (0.37),←,
32,"Ellis, Corey",18y 205d,1 (0-0-1 0.00%),1 (1.00),←,
6,"Grigg, Shaun",27y 13d,129 (60-2-67 47.29%),57 (0.44),86 (42-2-42 50.00%),47 (0.55)
14,"Houli, Bachar",26y 355d,119 (56-3-60 48.32%),29 (0.24),93 (46-2-45 50.54%),20 (0.22)
28,"Hunt, Taylor",24y 178d,68 (51-0-17 75.00%),20 (0.29),5 (2-0-3 40.00%),1 (0.20)
35,"Lennon, Ben",19y 301d,8 (3-0-5 37.50%),2 (0.25),←,
27,"Lloyd, Sam",25y 60d,13 (6-0-7 46.15%),15 (1.15),←,
20,"Maric, Ivan",29y 118d,137 (77-1-59 56.57%),50 (0.36),60 (34-1-25 57.50%),22 (0.37)
4,"Martin, Dustin",23y 310d,113 (51-2-60 46.02%),121 (1.07),←,
33,"McIntosh, Kamdyn",21y 29d,5 (2-0-3 40.00%),3 (0.60),←,
26,"Miles, Anthony",23y 63d,28 (12-0-16 42.86%),7 (0.25),18 (11-0-7 61.11%),6 (0.33)
38,"Morris, Steven",26y 122d,69 (36-1-32 52.90%),8 (0.12),←,
1,"Newman, Chris",32y 349d,255 (96-5-154 38.63%),47 (0.18),←,
18,"Rance, Alex",25y 205d,112 (47-2-63 42.86%),8 (0.07),←,
8,"Riewoldt, Jack",26y 183d,162 (68-4-90 43.21%),394 (2.43),←,
29,"Vickery, Ty",24y 336d,88 (38-2-48 44.32%),102 (1.16),←,
31,"Vlastuin, Nick",21y 13d,43 (23-0-20 53.49%),13 (0.30),←,
Totals,Totals,24y 310d,1998 (916-35-1047 45.85%),1113 (0.56),,
C,"Hardwick, Damien",42y 257d,117 (53-2-62 46.15%),,←,
