Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
48,"Adams, Oscar",22y 3d,4 (3-0-1 75.00%),,←,
9,"Ainsworth, Ben",27y 166d,151 (55-1-95 36.75%),130 (0.86),←,
15,"Anderson, Noah",24y 159d,122 (51-1-70 42.21%),50 (0.41),←,
1,"Andrew, Mac",21y 234d,58 (28-0-30 48.28%),10 (0.17),←,
35,"Budarick, Connor",24y 111d,48 (24-1-23 51.04%),4 (0.08),←,
25,"Collins, Sam",31y 41d,142 (58-1-83 41.20%),,128 (55-1-72 43.36%),
5,"Davies, Alex",23y 130d,33 (17-0-16 51.52%),10 (0.30),←,
50,"Farrar, Jy",28y 231d,35 (16-0-19 45.71%),6 (0.17),←,
8,"Fiorini, Brayden",27y 338d,116 (38-1-77 33.19%),36 (0.31),←,
3,"Flanders, Sam",24y 2d,83 (35-1-47 42.77%),36 (0.43),←,
7,"Holman, Nick",30y 58d,144 (53-0-91 36.81%),78 (0.54),135 (52-0-83 38.52%),78 (0.58)
19,"Humphrey, Bailey",20y 318d,58 (31-0-27 53.45%),43 (0.74),←,
40,"Jeffrey, Joel",23y 136d,46 (25-0-21 54.35%),21 (0.46),←,
34,"King, Ben",25y 19d,113 (44-1-68 39.38%),231 (2.04),←,
30,"Lombard, Leo",18y 294d,4 (1-0-3 25.00%),1 (0.25),←,
22,"Long, Ben",27y 339d,128 (58-1-69 45.70%),89 (0.70),49 (26-0-23 53.06%),58 (1.18)
2,"Noble, John",28y 123d,130 (78-3-49 61.15%),11 (0.08),18 (12-0-6 66.67%),3 (0.17)
27,"Powell, Wil",25y 334d,123 (52-1-70 42.68%),15 (0.12),←,
20,"Read, Ethan",20y 19d,18 (11-0-7 61.11%),16 (0.89),←,
18,"Rowell, Matt",24y 25d,103 (48-0-55 46.60%),31 (0.30),←,
32,"Uwland, Bodhi",22y 1d,42 (23-0-19 54.76%),1 (0.02),←,
14,"Weller, Lachie",29y 153d,154 (50-1-103 32.79%),50 (0.32),107 (36-1-70 34.11%),33 (0.31)
28,"Witts, Jarrod",32y 316d,198 (75-1-122 38.13%),43 (0.22),158 (57-1-100 36.39%),25 (0.16)
Totals,Totals,25y 138d,2053 (874-14-1165 42.57%),912 (0.44),,
C,"Hardwick, Damien",52y 342d,348 (193-6-149 56.32%),,41 (23-0-18 56.10%),
