Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",26y 140d,132 (43-1-88 32.95%),112 (0.85),←,
15,"Anderson, Noah",23y 133d,96 (36-1-59 38.02%),38 (0.40),←,
31,"Andrew, Mac",20y 208d,33 (14-0-19 42.42%),,←,
10,"Ballard, Charlie",24y 342d,125 (41-1-83 33.20%),2 (0.02),←,
16,"Berry, Tom",23y 59d,41 (26-0-15 63.41%),6 (0.15),21 (11-0-10 52.38%),3 (0.14)
33,"Clohesy, Sam",21y 200d,12 (6-0-6 50.00%),6 (0.50),←,
25,"Collins, Sam",30y 14d,119 (45-1-73 38.24%),,105 (42-1-62 40.48%),
12,"Day, Sam",31y 297d,154 (46-2-106 30.52%),115 (0.75),←,
3,"Flanders, Sam",22y 341d,58 (21-1-36 37.07%),16 (0.28),←,
26,"Graham, Will",18y 338d,9 (4-0-5 44.44%),3 (0.33),←,
7,"Holman, Nick",29y 31d,123 (42-0-81 34.15%),69 (0.56),114 (41-0-73 35.96%),69 (0.61)
19,"Humphrey, Bailey",19y 292d,32 (16-0-16 50.00%),21 (0.66),←,
40,"Jeffrey, Joel",22y 109d,23 (12-0-11 52.17%),16 (0.70),←,
34,"King, Ben",23y 358d,87 (29-1-57 33.91%),171 (1.97),←,
22,"Long, Ben",26y 313d,103 (43-1-59 42.23%),46 (0.45),24 (11-0-13 45.83%),15 (0.63)
13,"Lukosius, Jack",23y 325d,110 (38-1-71 35.00%),72 (0.65),←,
11,"Miller, Touk",28y 128d,188 (54-2-132 29.26%),55 (0.29),←,
27,"Powell, Wil",24y 308d,97 (37-1-59 38.66%),13 (0.13),←,
18,"Rowell, Matt",22y 364d,77 (33-0-44 42.86%),24 (0.31),←,
6,"Sexton, Alex",30y 209d,176 (50-0-126 28.41%),163 (0.93),←,
24,"Swallow, David",31y 223d,234 (71-1-162 30.56%),109 (0.47),←,
32,"Uwland, Bodhi",20y 340d,16 (8-0-8 50.00%),,←,
28,"Witts, Jarrod",31y 290d,176 (62-1-113 35.51%),36 (0.20),136 (44-1-91 32.72%),18 (0.13)
Totals,Totals,25y 90d,2221 (777-15-1429 34.98%),1093 (0.49),,
C,"Hardwick, Damien",51y 316d,322 (178-6-138 56.21%),,15 (8-0-7 53.33%),
