Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
13,"Ah Chee, Callum",20y 236d,34 (7-0-27 20.59%),22 (0.65),←,
9,"Ainsworth, Ben",20y 112d,23 (5-0-18 21.74%),18 (0.78),←,
31,"Ballard, Charlie",18y 314d,4 (0-0-4 0.00%),1 (0.25),←,
29,"Bowes, Jack",20y 127d,20 (5-0-15 25.00%),4 (0.20),←,
41,"Brodie, Will",19y 283d,4 (1-0-3 25.00%),,←,
12,"Day, Sam",25y 269d,107 (32-1-74 30.37%),74 (0.69),←,
33,"Hall, Aaron",27y 205d,103 (33-1-69 32.52%),76 (0.74),←,
5,"Harbrow, Jarrod",29y 319d,212 (80-2-130 38.21%),53 (0.25),142 (40-1-101 28.52%),32 (0.23)
40,"Heron, Jacob",18y 174d,2 (0-0-2 0.00%),1 (0.50),←,
39,"Holman, Nick",23y 4d,19 (4-0-15 21.05%),2 (0.11),10 (3-0-7 30.00%),2 (0.20)
38,"Joyce, Jesse",20y 289d,36 (11-0-25 30.56%),1 (0.03),←,
19,"Lynch, Tom",25y 214d,128 (37-1-90 29.30%),249 (1.95),←,
4,"Martin, Jack",23y 124d,75 (22-1-52 30.00%),71 (0.95),←,
17,"May, Steven",26y 143d,115 (37-1-77 32.61%),20 (0.17),←,
11,"Miller, Touk",22y 100d,70 (16-1-53 23.57%),22 (0.31),←,
35,"Rischitelli, Michael",32y 145d,224 (79-3-142 35.94%),88 (0.39),113 (30-0-83 26.55%),41 (0.36)
6,"Sexton, Alex",24y 181d,85 (24-0-61 28.24%),51 (0.60),←,
24,"Swallow, David",25y 195d,107 (31-0-76 28.97%),54 (0.50),←,
16,"Thompson, Rory",27y 82d,96 (29-1-66 30.73%),7 (0.07),←,
14,"Weller, Lachie",22y 99d,57 (17-0-40 29.82%),18 (0.32),10 (3-0-7 30.00%),1 (0.10)
28,"Witts, Jarrod",25y 262d,68 (27-0-41 39.71%),21 (0.31),28 (9-0-19 32.14%),3 (0.11)
15,"Young, Aaron",25y 178d,86 (41-1-44 48.26%),70 (0.81),10 (3-0-7 30.00%),8 (0.80)
Totals,Totals,23y 334d,1675 (538-13-1124 32.12%),923 (0.55),,
C,"Dew, Stuart",38y 288d,10 (3-0-7 30.00%),,←,
