Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
27,"Armfield, Dennis",29y 235d,138 (64-1-73 46.74%),71 (0.51),←,
12,"Boekhorst, Blaine",22y 346d,18 (2-0-16 11.11%),8 (0.44),←,
7,"Buckley, Dylan",23y 150d,36 (8-0-28 22.22%),12 (0.33),←,
41,"Casboult, Levi",26y 151d,70 (23-1-46 33.57%),70 (1.00),←,
9,"Cripps, Patrick",21y 148d,42 (10-1-31 25.00%),15 (0.36),←,
28,"Cuningham, David",19y 136d,1 (0-0-1 0.00%),,←,
35,"Curnow, Ed",26y 280d,108 (45-2-61 42.59%),16 (0.15),←,
15,"Docherty, Sam",22y 301d,68 (21-1-46 31.62%),10 (0.15),55 (15-1-39 28.18%),9 (0.16)
4,"Gibbs, Bryce",27y 151d,207 (88-2-117 43.00%),120 (0.58),←,
14,"Jones, Liam",25y 171d,81 (32-0-49 39.51%),83 (1.02),15 (5-0-10 33.33%),15 (1.00)
11,"Kerridge, Sam",23y 109d,47 (19-0-28 40.43%),28 (0.60),20 (6-0-14 30.00%),5 (0.25)
8,"Kreuzer, Matthew",27y 92d,138 (64-0-74 46.38%),71 (0.51),←,
34,"Phillips, Andrew",25y 41d,28 (4-0-24 14.29%),10 (0.36),14 (2-0-12 14.29%),5 (0.36)
20,"Plowman, Lachie",21y 337d,37 (10-0-27 27.03%),1 (0.03),17 (6-0-11 35.29%),
17,"Rowe, Sam",28y 268d,71 (22-1-48 31.69%),15 (0.21),←,
2,"Silvagni, Jack",18y 240d,7 (0-0-7 0.00%),7 (1.00),←,
6,"Simpson, Kade",32y 100d,262 (101-3-158 39.12%),127 (0.48),←,
39,"Thomas, Dale",29y 53d,198 (116-2-80 59.09%),141 (0.71),41 (13-0-28 31.71%),20 (0.49)
42,"Tuohy, Zach",26y 247d,118 (47-1-70 40.25%),40 (0.34),←,
23,"Weitering, Jacob",18y 264d,18 (4-0-14 22.22%),2 (0.11),←,
43,"White, Simon",28y 57d,74 (29-2-43 40.54%),12 (0.16),←,
46,"Wright, Matthew",26y 243d,114 (55-0-59 48.25%),81 (0.71),20 (6-0-14 30.00%),18 (0.90)
Totals,Totals,25y 38d,1881 (764-17-1100 40.62%),940 (0.50),,
C,"Bolton, Brendon",37y 117d,25 (11-0-14 44.00%),,20 (6-0-14 30.00%),
