Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",25y 183d,115 (35-1-79 30.87%),96 (0.83),←,
15,"Anderson, Noah",22y 176d,79 (28-1-50 36.08%),29 (0.37),←,
31,"Andrew, Mac",19y 251d,19 (8-0-11 42.11%),,←,
2,"Atkins, Rory",29y 31d,133 (74-1-58 56.02%),51 (0.38),32 (12-0-20 37.50%),4 (0.13)
10,"Ballard, Charlie",24y 20d,108 (33-1-74 31.02%),2 (0.02),←,
30,"Casboult, Levi",33y 150d,193 (64-1-128 33.42%),213 (1.10),39 (16-0-23 41.03%),57 (1.46)
25,"Collins, Sam",29y 58d,102 (37-1-64 36.76%),,88 (34-1-53 39.20%),
12,"Day, Sam",30y 340d,150 (43-2-105 29.33%),107 (0.71),←,
4,"Ellis, Brandon",30y 9d,245 (135-2-108 55.51%),83 (0.34),69 (26-1-42 38.41%),25 (0.36)
50,"Farrar, Jy",26y 248d,34 (15-0-19 44.12%),3 (0.09),←,
3,"Flanders, Sam",22y 19d,42 (13-1-28 32.14%),12 (0.29),←,
36,"Hollands, Elijah",21y 109d,14 (5-0-9 35.71%),8 (0.57),←,
7,"Holman, Nick",28y 75d,110 (35-0-75 31.82%),62 (0.56),101 (34-0-67 33.66%),62 (0.61)
19,"Humphrey, Bailey",18y 335d,18 (8-0-10 44.44%),11 (0.61),←,
23,"Lemmens, Sean",28y 283d,143 (42-2-99 30.07%),25 (0.17),←,
13,"Lukosius, Jack",23y 3d,94 (30-1-63 32.45%),55 (0.59),←,
44,"Macpherson, Darcy",25y 287d,93 (28-0-65 30.11%),29 (0.31),←,
11,"Miller, Touk",27y 171d,171 (46-2-123 27.49%),49 (0.29),←,
41,"Rosas, Malcolm",22y 46d,36 (17-0-19 47.22%),29 (0.81),←,
18,"Rowell, Matt",22y 42d,60 (25-0-35 41.67%),17 (0.28),←,
24,"Swallow, David",30y 266d,218 (64-1-153 29.59%),95 (0.44),←,
21,"Tsitas, James",28y 162d,5 (1-0-4 20.00%),3 (0.60),←,
28,"Witts, Jarrod",30y 333d,163 (56-1-106 34.66%),33 (0.20),123 (38-1-84 31.30%),15 (0.12)
Totals,Totals,26y 45d,2345 (842-18-1485 35.91%),1012 (0.43),,
C,"King, Steven",44y 263d,5 (2-0-3 40.00%),,←,
