Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
35,"Akermanis, Jason",18y 198d,17 (8-0-9 47.06%),12 (0.71),←,
10,"Ashcroft, Marcus",23y 350d,127 (36-1-90 28.74%),74 (0.58),←,
36,"Bartlett, Trent",18y 288d,8 (4-0-4 50.00%),1 (0.13),←,
25,"Bews, Andrew",31y 53d,246 (127-1-118 51.83%),134 (0.54),39 (17-0-22 43.59%),2 (0.05)
1,"Champion, Richard",27y 149d,94 (27-1-66 29.26%),33 (0.35),←,
5,"Chapman, Nathan",20y 126d,43 (12-0-31 27.91%),12 (0.28),←,
16,"Clarke, Matthew",21y 357d,44 (19-0-25 43.18%),3 (0.07),←,
6,"Fletcher, Adrian",25y 335d,107 (47-0-60 43.93%),54 (0.50),62 (22-0-40 35.48%),34 (0.55)
8,"Gowers, Andrew",26y 152d,107 (66-0-41 61.68%),55 (0.51),18 (7-0-11 38.89%),1 (0.06)
32,"Hart, Shaun",24y 116d,82 (22-1-59 27.44%),56 (0.68),←,
18,"Lambert, Craig",26y 340d,152 (44-0-108 28.95%),62 (0.41),29 (11-0-18 37.93%),9 (0.31)
44,"Lappin, Nigel",19y 81d,36 (15-0-21 41.67%),25 (0.69),←,
23,"Leppitsch, Justin",19y 344d,25 (9-0-16 36.00%),13 (0.52),←,
2,"McAdam, Gilbert",28y 164d,92 (48-1-43 52.72%),82 (0.89),39 (18-0-21 46.15%),34 (0.87)
7,"McIvor, Scott",29y 32d,184 (67-0-117 36.41%),89 (0.48),129 (41-0-88 31.78%),74 (0.57)
19,"McLean, Michael",30y 191d,177 (71-2-104 40.68%),40 (0.23),82 (24-0-58 29.27%),17 (0.21)
4,"McRae, Craig",21y 353d,23 (10-0-13 43.48%),28 (1.22),←,
24,"Merrett, Roger",35y 144d,296 (139-3-154 47.47%),411 (1.39),147 (42-1-104 28.91%),263 (1.79)
22,"Scott, Chris",19y 130d,33 (13-0-20 39.39%),17 (0.52),←,
3,"Voss, Michael",20y 65d,55 (21-0-34 38.18%),49 (0.89),←,
33,"White, Darryl",22y 90d,68 (23-1-44 34.56%),69 (1.01),←,
Totals,Totals,24y 141d,2016 (828-11-1177 41.07%),1319 (0.65),,
C,"Walls, Robert",45y 51d,308 (145-2-161 47.40%),,109 (30-1-78 27.98%),
