Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",23y 178d,72 (17-1-54 24.31%),52 (0.72),←,
15,"Anderson, Noah",20y 171d,35 (10-1-24 30.00%),4 (0.11),←,
10,"Ballard, Charlie",22y 15d,67 (16-1-50 24.63%),1 (0.01),←,
3,"Bowes, Jack",23y 193d,77 (19-1-57 25.32%),14 (0.18),←,
29,"Burgess, Chris",25y 254d,31 (9-0-22 29.03%),14 (0.45),←,
25,"Collins, Sam",27y 53d,57 (18-1-38 32.46%),,43 (15-1-27 36.05%),
19,"Corbett, Josh",25y 106d,30 (6-1-23 21.67%),27 (0.90),←,
4,"Ellis, Brandon",28y 4d,210 (120-2-88 57.62%),68 (0.32),34 (11-1-22 33.82%),10 (0.29)
50,"Farrar, Jy",24y 243d,9 (4-0-5 44.44%),1 (0.11),←,
8,"Fiorini, Brayden",23y 350d,60 (13-1-46 22.50%),19 (0.32),←,
40,"Jeffrey, Joel",19y 148d,2 (1-0-1 50.00%),1 (0.50),←,
34,"King, Ben",21y 31d,51 (12-1-38 24.51%),85 (1.67),←,
23,"Lemmens, Sean",26y 278d,112 (30-2-80 27.68%),25 (0.22),←,
13,"Lukosius, Jack",20y 363d,58 (15-1-42 26.72%),9 (0.16),←,
44,"Macpherson, Darcy",23y 282d,60 (14-0-46 23.33%),26 (0.43),←,
11,"Miller, Touk",25y 166d,136 (32-2-102 24.26%),39 (0.29),←,
27,"Powell, Wil",21y 346d,55 (16-1-38 30.00%),12 (0.22),←,
18,"Rowell, Matt",20y 37d,15 (6-0-9 40.00%),8 (0.53),←,
6,"Sexton, Alex",27y 247d,152 (40-0-112 26.32%),149 (0.98),←,
37,"Sharp, Jeremy",19y 359d,9 (3-0-6 33.33%),2 (0.22),←,
32,"Smith, Zac",31y 166d,122 (49-1-72 40.57%),54 (0.44),72 (15-0-57 20.83%),34 (0.47)
24,"Swallow, David",28y 261d,173 (45-1-127 26.30%),78 (0.45),←,
21,"Townsend, Jacob",28y 48d,61 (25-0-36 40.98%),43 (0.70),1 (1-0-0 100.00%),2 (2.00)
Totals,Totals,24y 123d,1654 (520-18-1116 31.44%),731 (0.44),,
C,"Dew, Stuart",41y 354d,81 (19-1-61 24.07%),,←,
