Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
11,"Bandy, Daniel",29y 143d,146 (46-1-99 31.85%),123 (0.84),41 (13-1-27 32.93%),43 (1.05)
40,"Birss, Shane",22y 30d,39 (12-2-25 33.33%),15 (0.38),←,
20,"Bowden, Patrick",23y 249d,45 (7-1-37 16.67%),54 (1.20),←,
42,"Boyd, Matthew",22y 226d,30 (7-0-23 23.33%),5 (0.17),←,
17,"Cooney, Adam",19y 192d,22 (5-0-17 22.73%),17 (0.77),←,
4,"Cross, Daniel",22y 11d,27 (6-1-20 24.07%),2 (0.07),←,
14,"Darcy, Luke",29y 272d,201 (89-4-108 45.27%),157 (0.78),←,
10,"Eagleton, Nathan",26y 151d,153 (64-3-86 42.81%),122 (0.80),97 (38-1-58 39.69%),77 (0.79)
18,"Faulkner, Cameron",20y 323d,9 (4-0-5 44.44%),4 (0.44),←,
13,"Giansiracusa, Daniel",23y 30d,73 (21-2-50 30.14%),61 (0.84),←,
9,"Gilbee, Lindsay",23y 276d,54 (18-1-35 34.26%),26 (0.48),←,
3,"Grant, Chris",32y 118d,298 (149-5-144 50.84%),496 (1.66),←,
8,"Hahn, Mitch",23y 335d,75 (24-1-50 32.67%),37 (0.49),←,
25,"Hargrave, Ryan",23y 258d,55 (17-2-36 32.73%),9 (0.16),←,
22,"Harrison, Ben",30y 83d,160 (65-2-93 41.25%),71 (0.44),84 (27-2-55 33.33%),32 (0.38)
6,"Johnson, Brad",28y 266d,235 (104-5-126 45.32%),294 (1.25),←,
36,"Lake, Brian",23y 42d,34 (6-0-28 17.65%),7 (0.21),←,
23,"McMahon, Jordan",21y 318d,55 (13-2-40 25.45%),29 (0.53),←,
2,"Murphy, Robert",22y 305d,82 (26-2-54 32.93%),30 (0.37),←,
24,"Rawlings, Jade",27y 183d,138 (64-0-74 46.38%),92 (0.67),22 (5-0-17 22.73%),30 (1.36)
5,"Smith, Rohan",31y 314d,259 (120-5-134 47.30%),217 (0.84),←,
7,"West, Scott",30y 147d,257 (116-4-137 45.91%),93 (0.36),←,
Totals,Totals,25y 161d,2447 (983-43-1421 40.17%),1961 (0.80),,
C,"Eade, Rodney",47y 6d,155 (82-2-71 53.55%),,3 (1-0-2 33.33%),
