Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
42,"Boyd, Matthew",22y 253d,33 (9-0-24 27.27%),5 (0.15),←,
17,"Cooney, Adam",19y 219d,26 (7-0-19 26.92%),19 (0.73),←,
4,"Cross, Daniel",22y 38d,31 (8-1-22 27.42%),2 (0.06),←,
10,"Eagleton, Nathan",26y 178d,157 (66-3-88 42.99%),127 (0.81),101 (40-1-60 40.10%),82 (0.81)
13,"Giansiracusa, Daniel",23y 57d,77 (23-2-52 31.17%),65 (0.84),←,
9,"Gilbee, Lindsay",23y 303d,58 (20-1-37 35.34%),34 (0.59),←,
3,"Grant, Chris",32y 145d,302 (151-5-146 50.83%),500 (1.66),←,
8,"Hahn, Mitch",23y 362d,78 (25-1-52 32.69%),39 (0.50),←,
25,"Hargrave, Ryan",23y 285d,59 (19-2-38 33.90%),10 (0.17),←,
6,"Johnson, Brad",28y 293d,239 (106-5-128 45.40%),301 (1.26),←,
36,"Lake, Brian",23y 69d,38 (8-0-30 21.05%),7 (0.18),←,
23,"McMahon, Jordan",21y 345d,59 (15-2-42 27.12%),29 (0.49),←,
27,"Minson, Will",20y 26d,9 (4-0-5 44.44%),1 (0.11),←,
32,"Morgan, Adam",23y 191d,11 (4-0-7 36.36%),3 (0.27),8 (2-0-6 25.00%),3 (0.38)
38,"Morris, Dale",22y 129d,3 (2-0-1 66.67%),,←,
2,"Murphy, Robert",22y 332d,86 (28-2-56 33.72%),36 (0.42),←,
15,"Power, Sam",21y 309d,46 (11-1-34 25.00%),11 (0.24),←,
1,"Ray, Farren",19y 45d,10 (2-0-8 20.00%),2 (0.20),←,
30,"Robbins, Matthew",27y 364d,98 (37-2-59 38.78%),46 (0.47),91 (33-2-56 37.36%),46 (0.51)
34,"Skipper, Wayde",22y 67d,18 (3-1-14 19.44%),4 (0.22),←,
5,"Smith, Rohan",31y 341d,263 (122-5-136 47.34%),220 (0.84),←,
7,"West, Scott",30y 174d,261 (118-4-139 45.98%),94 (0.36),←,
Totals,Totals,24y 106d,1962 (788-37-1137 40.16%),1555 (0.79),,
C,"Eade, Rodney",47y 33d,159 (84-2-73 53.46%),,7 (3-0-4 42.86%),
