Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
35,"Bond, Chris",28y 153d,113 (53-1-59 47.35%),39 (0.35),91 (45-1-45 50.00%),31 (0.34)
30,"Bourke, David",21y 170d,43 (25-0-18 58.14%),10 (0.23),←,
17,"Broderick, Paul",27y 176d,175 (83-1-91 47.71%),123 (0.70),82 (44-1-37 54.27%),43 (0.52)
21,"Bulluss, Paul",27y 156d,70 (27-1-42 39.29%),18 (0.26),←,
9,"Campbell, Wayne",24y 278d,132 (57-1-74 43.56%),79 (0.60),←,
40,"Chaffey, Mark",20y 53d,8 (3-0-5 37.50%),1 (0.13),←,
10,"Daffy, Nick",24y 48d,80 (43-1-36 54.38%),106 (1.33),←,
25,"Gale, Brendon",28y 345d,155 (64-1-90 41.61%),168 (1.08),←,
1,"Gale, Michael",30y 189d,175 (77-1-97 44.29%),46 (0.26),70 (36-1-33 52.14%),17 (0.24)
2,"Gaspar, Darren",21y 39d,54 (22-0-32 40.74%),2 (0.04),33 (15-0-18 45.45%),1 (0.03)
20,"Harrison, Ben",22y 162d,17 (8-0-9 47.06%),3 (0.18),15 (6-0-9 40.00%),3 (0.20)
16,"Holland, Ben",20y 49d,23 (11-0-12 47.83%),11 (0.48),←,
3,"Kellaway, Duncan",24y 131d,90 (45-1-44 50.56%),,←,
33,"Knights, Matthew",26y 266d,165 (62-0-103 37.58%),101 (0.61),←,
6,"Naish, Chris",25y 274d,140 (58-1-81 41.79%),207 (1.48),←,
26,"Nichols, Trent",28y 82d,105 (41-1-63 39.52%),104 (0.99),68 (21-0-47 30.88%),62 (0.91)
13,"Powell, Robert",21y 101d,14 (7-0-7 50.00%),19 (1.36),←,
7,"Prescott, Ashley",24y 290d,59 (30-1-28 51.69%),9 (0.15),←,
12,"Richardson, Matthew",22y 101d,74 (36-0-38 48.65%),235 (3.18),←,
4,"Rogers, Matthew",23y 215d,69 (37-1-31 54.35%),59 (0.86),←,
41,"Turner, Scott",27y 28d,116 (46-0-70 39.66%),32 (0.28),←,
Totals,Totals,24y 297d,1877 (835-12-1030 44.49%),1372 (0.73),,
C,"Walls, Robert",46y 342d,343 (161-2-180 47.23%),,35 (16-0-19 45.71%),
