Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
12,"Akermanis, Jason",20y 55d,40 (24-1-15 61.25%),46 (1.15),2 (1-0-1 50.00%),2 (1.00)
10,"Ashcroft, Marcus",25y 207d,156 (55-2-99 35.90%),88 (0.56),4 (2-0-2 50.00%),4 (1.00)
34,"Bamford, Scott",22y 301d,25 (3-0-22 12.00%),7 (0.28),3 (2-0-1 66.67%),1 (0.33)
1,"Champion, Richard",29y 6d,123 (46-2-75 38.21%),38 (0.31),4 (2-0-2 50.00%),1 (0.25)
5,"Chapman, Nathan",21y 348d,50 (16-0-34 32.00%),12 (0.24),1 (1-0-0 100.00%),
16,"Clarke, Matthew",23y 214d,73 (38-1-34 52.74%),7 (0.10),4 (2-0-2 50.00%),1 (0.25)
14,"Dickfos, Danny",26y 202d,26 (18-1-7 71.15%),,4 (2-0-2 50.00%),
6,"Fletcher, Adrian",27y 192d,135 (65-1-69 48.52%),73 (0.54),4 (2-0-2 50.00%),4 (1.00)
32,"Hart, Shaun",25y 338d,106 (39-1-66 37.26%),83 (0.78),4 (2-0-2 50.00%),2 (0.50)
2,"Johnson, Chris",20y 325d,63 (9-0-54 14.29%),72 (1.14),4 (2-0-2 50.00%),5 (1.25)
27,"Keating, Clark",21y 32d,18 (12-1-5 69.44%),15 (0.83),4 (2-0-2 50.00%),6 (1.50)
41,"Kennedy, Matthew",27y 75d,117 (41-1-75 35.47%),25 (0.21),4 (2-0-2 50.00%),
18,"Lambert, Craig",28y 197d,175 (59-1-115 34.00%),74 (0.42),3 (2-0-1 66.67%),2 (0.67)
44,"Lappin, Nigel",20y 303d,64 (34-1-29 53.91%),42 (0.66),3 (2-0-1 66.67%),2 (0.67)
23,"Leppitsch, Justin",21y 201d,47 (24-1-22 52.13%),67 (1.43),3 (2-0-1 66.67%),9 (3.00)
11,"Lynch, Alastair",28y 305d,155 (62-0-93 40.00%),268 (1.73),3 (1-0-2 33.33%),6 (2.00)
42,"Lynch, Tristan",23y 241d,23 (15-1-7 67.39%),1 (0.04),2 (1-0-1 50.00%),
7,"McIvor, Scott",30y 254d,197 (73-1-123 37.31%),96 (0.49),4 (2-0-2 50.00%),4 (1.00)
4,"McRae, Craig",23y 210d,41 (22-0-19 53.66%),56 (1.37),2 (1-0-1 50.00%),
28,"Robbins, Ben",20y 114d,9 (5-0-4 55.56%),3 (0.33),4 (2-0-2 50.00%),2 (0.50)
3,"Voss, Michael",21y 287d,83 (40-1-42 48.80%),76 (0.92),4 (2-0-2 50.00%),4 (1.00)
Totals,Totals,24y 140d,1726 (700-17-1009 40.56%),1149 (0.67),,
C,"Northey, John",53y 295d,285 (147-3-135 52.11%),,4 (2-0-2 50.00%),
