Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",24y 191d,96 (27-1-68 28.65%),77 (0.80),←,
15,"Anderson, Noah",21y 184d,58 (19-1-38 33.62%),15 (0.26),←,
31,"Andrew, Mac",18y 259d,4 (2-0-2 50.00%),,←,
30,"Casboult, Levi",32y 158d,175 (57-1-117 32.86%),191 (1.09),21 (9-0-12 42.86%),35 (1.67)
1,"Chol, Mabior",25y 203d,53 (29-1-23 55.66%),68 (1.28),22 (10-0-12 45.45%),44 (2.00)
25,"Collins, Sam",28y 66d,81 (28-1-52 35.19%),,67 (25-1-41 38.06%),
33,"Constable, Charlie",23y 94d,14 (11-0-3 78.57%),6 (0.43),2 (2-0-0 100.00%),
5,"Davies, Alex",20y 155d,16 (7-0-9 43.75%),8 (0.50),←,
4,"Ellis, Brandon",29y 17d,231 (129-2-100 56.28%),77 (0.33),55 (20-1-34 37.27%),19 (0.35)
50,"Farrar, Jy",25y 256d,25 (11-0-14 44.00%),2 (0.08),←,
26,"Flanders, Sam",21y 27d,30 (9-1-20 31.67%),9 (0.30),←,
46,"Graham, Caleb",21y 342d,37 (10-0-27 27.03%),1 (0.03),←,
36,"Hollands, Elijah",20y 117d,5 (2-0-3 40.00%),5 (1.00),←,
23,"Lemmens, Sean",27y 291d,134 (38-2-94 29.10%),25 (0.19),←,
13,"Lukosius, Jack",22y 11d,73 (21-1-51 29.45%),17 (0.23),←,
44,"Macpherson, Darcy",24y 295d,72 (19-0-53 26.39%),26 (0.36),←,
11,"Miller, Touk",26y 179d,160 (42-2-116 26.88%),47 (0.29),←,
47,"Oea, Hewago",20y 280d,5 (3-0-2 60.00%),2 (0.40),←,
41,"Rosas, Malcolm",21y 54d,19 (9-0-10 47.37%),14 (0.74),←,
18,"Rowell, Matt",21y 50d,39 (16-0-23 41.03%),10 (0.26),←,
6,"Sexton, Alex",28y 260d,158 (42-0-116 26.58%),157 (0.99),←,
24,"Swallow, David",29y 274d,197 (55-1-141 28.17%),86 (0.44),←,
28,"Witts, Jarrod",29y 341d,144 (47-1-96 32.99%),29 (0.20),104 (29-1-74 28.37%),11 (0.11)
Totals,Totals,24y 210d,1826 (633-15-1178 34.67%),872 (0.48),,
C,"Dew, Stuart",43y 2d,105 (29-1-75 28.10%),,←,
