Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 182d,35 (21-1-13 61.43%),42 (1.20),←,
10,"Ashcroft, Marcus",24y 334d,148 (51-2-95 35.14%),82 (0.55),←,
17,"Bartlett, Trent",19y 272d,22 (13-1-8 61.36%),1 (0.05),←,
1,"Champion, Richard",28y 132d,115 (42-2-71 37.39%),34 (0.30),←,
16,"Clarke, Matthew",22y 341d,65 (34-1-30 53.08%),6 (0.09),←,
26,"Corcoran, Shannon",25y 184d,27 (17-0-10 62.96%),2 (0.07),4 (2-0-2 50.00%),
14,"Dickfos, Danny",25y 329d,18 (14-1-3 80.56%),,←,
6,"Fletcher, Adrian",26y 319d,127 (61-1-65 48.43%),68 (0.54),82 (36-1-45 44.51%),48 (0.59)
8,"Gowers, Andrew",27y 135d,125 (78-1-46 62.80%),60 (0.48),36 (19-1-16 54.17%),6 (0.17)
32,"Hart, Shaun",25y 99d,98 (35-1-62 36.22%),78 (0.80),←,
41,"Kennedy, Matthew",26y 202d,109 (37-1-71 34.40%),25 (0.23),←,
44,"Lappin, Nigel",20y 64d,57 (30-1-26 53.51%),38 (0.67),←,
23,"Leppitsch, Justin",20y 328d,40 (20-1-19 51.25%),50 (1.25),←,
11,"Lynch, Alastair",28y 66d,148 (59-0-89 39.86%),248 (1.68),28 (15-0-13 53.57%),75 (2.68)
42,"Lynch, Tristan",23y 2d,17 (12-1-4 73.53%),1 (0.06),←,
2,"McAdam, Gilbert",29y 147d,109 (60-2-47 55.96%),88 (0.81),56 (30-1-25 54.46%),40 (0.71)
7,"McIvor, Scott",30y 15d,192 (71-1-120 37.24%),91 (0.47),137 (45-1-91 33.21%),76 (0.55)
4,"McRae, Craig",22y 337d,36 (19-0-17 52.78%),51 (1.42),←,
24,"Merrett, Roger",36y 127d,309 (149-4-156 48.87%),429 (1.39),160 (52-2-106 33.13%),281 (1.76)
22,"Scott, Chris",20y 113d,51 (25-1-25 50.00%),22 (0.43),←,
3,"Voss, Michael",21y 48d,76 (36-1-39 48.03%),71 (0.93),←,
Totals,Totals,25y 6d,1924 (884-24-1016 45.95%),1487 (0.77),,
C,"Northey, John",53y 56d,277 (143-3-131 52.17%),,21 (15-1-5 73.81%),
