Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
4,"Bastinac, Ryan",24y 327d,129 (68-0-61 52.71%),69 (0.53),8 (1-0-7 12.50%),3 (0.38)
17,"Beams, Claye",24y 256d,44 (12-0-32 27.27%),23 (0.52),←,
9,"Beams, Dayne",26y 92d,128 (78-2-48 61.72%),129 (1.01),18 (2-0-16 11.11%),11 (0.61)
7,"Bell, Tom",24y 336d,59 (19-1-39 33.05%),41 (0.69),8 (1-0-7 12.50%),5 (0.63)
8,"Bewick, Rohan",26y 217d,86 (28-0-58 32.56%),60 (0.70),←,
3,"Christensen, Allen",24y 361d,95 (54-0-41 56.84%),82 (0.86),30 (5-0-25 16.67%),26 (0.87)
27,"Gardiner, Darcy",20y 235d,33 (9-0-24 27.27%),3 (0.09),←,
6,"Green, Josh",23y 264d,75 (28-0-47 37.33%),102 (1.36),←,
11,"Hanley, Pearce",27y 181d,115 (36-0-79 31.30%),51 (0.44),←,
2,"Harwood, Ryan",24y 281d,67 (24-0-43 35.82%),6 (0.09),←,
1,"Keays, Ben",19y 81d,3 (0-0-3 0.00%),1 (0.33),←,
35,"Lester, Ryan",23y 262d,69 (24-0-45 34.78%),27 (0.39),←,
12,"Martin, Stefan",29y 179d,102 (25-1-76 25.00%),35 (0.34),45 (11-0-34 24.44%),12 (0.27)
32,"Mayes, Sam",21y 360d,60 (20-0-40 33.33%),25 (0.42),←,
21,"Merrett, Daniel",31y 154d,187 (77-3-107 41.98%),69 (0.37),←,
22,"Paparone, Marco",21y 254d,48 (11-0-37 22.92%),13 (0.27),←,
10,"Rich, Daniel",25y 342d,129 (45-1-83 35.27%),82 (0.64),←,
5,"Robinson, Mitch",26y 342d,128 (56-1-71 44.14%),68 (0.53),28 (5-0-23 17.86%),10 (0.36)
23,"Schache, Josh",18y 267d,7 (1-0-6 14.29%),5 (0.71),←,
28,"Taylor, Lewis",21y 87d,51 (12-0-39 23.53%),36 (0.71),←,
14,"Walker, Josh",23y 184d,41 (20-1-20 50.00%),42 (1.02),8 (1-0-7 12.50%),7 (0.88)
15,"Zorko, Dayne",27y 95d,88 (30-0-58 34.09%),90 (1.02),←,
Totals,Totals,24y 201d,1744 (677-10-1057 38.82%),1059 (0.61),,
C,"Leppitsch, Justin",40y 226d,52 (12-0-40 23.08%),,←,
