Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
44,"Bail, Rohan",26y 324d,66 (15-1-50 23.48%),28 (0.42),←,
10,"Brayshaw, Angus",19y 127d,7 (2-0-5 28.57%),2 (0.29),←,
18,"Cross, Daniel",32y 47d,234 (104-3-127 45.09%),34 (0.15),24 (6-0-18 25.00%),1 (0.04)
6,"Dawes, Chris",27y,106 (60-1-45 57.08%),118 (1.11),35 (6-0-29 17.14%),35 (1.00)
14,"Dunn, Lynden",28y 2d,146 (36-2-108 25.34%),95 (0.65),←,
20,"Garland, Colin",27y 18d,122 (27-2-93 22.95%),16 (0.13),←,
36,"Garlett, Jeff",25y 286d,114 (59-1-54 52.19%),198 (1.74),7 (2-0-5 28.57%),15 (2.14)
31,"Grimes, Jack",26y 5d,88 (18-2-68 21.59%),8 (0.09),←,
38,"Howe, Jeremy",24y 321d,85 (17-0-68 20.00%),70 (0.82),←,
45,"Jones, Matt",27y 210d,43 (6-0-37 13.95%),6 (0.14),←,
2,"Jones, Nathan",27y 116d,186 (43-3-140 23.92%),86 (0.46),←,
8,"Lumumba, Heritier",28y 182d,206 (131-2-73 64.08%),29 (0.14),7 (2-0-5 28.57%),1 (0.14)
25,"McDonald, Tom",22y 240d,67 (13-0-54 19.40%),3 (0.04),←,
22,"Michie, Viv",23y 82d,10 (1-0-9 10.00%),,9 (1-0-8 11.11%),
21,"Pedersen, Cameron",28y 60d,48 (12-0-36 25.00%),42 (0.88),32 (5-0-27 15.63%),22 (0.69)
3,"Salem, Christian",19y 305d,19 (5-0-14 26.32%),7 (0.37),←,
42,"Spencer, Jake",25y 219d,31 (3-0-28 9.68%),3 (0.10),←,
15,"Stretch, Billy",18y 250d,2 (0-0-2 0.00%),1 (0.50),←,
5,"Toumpas, Jimmy",21y 134d,21 (3-0-18 14.29%),2 (0.10),←,
12,"Tyson, Dom",21y 342d,42 (7-0-35 16.67%),22 (0.52),29 (6-0-23 20.69%),18 (0.62)
37,"Vandenberg, Aaron",23y 74d,7 (2-0-5 28.57%),3 (0.43),←,
23,"Vince, Bernie",29y 226d,157 (73-0-84 46.50%),94 (0.60),28 (5-0-23 17.86%),14 (0.50)
Totals,Totals,25y 79d,1807 (637-17-1153 35.25%),867 (0.48),,
C,"Roos, Paul",51y 323d,231 (122-2-107 53.25%),,29 (6-0-23 20.69%),
