Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
41,"Banks, Sam",22y 59d,32 (7-0-25 21.88%),4 (0.13),←,
35,"Broad, Nathan",32y 46d,160 (90-3-67 57.19%),4 (0.03),←,
30,"Brown, Tom",21y 305d,31 (5-0-26 16.13%),8 (0.26),←,
44,"Campbell, Seth",20y 153d,33 (5-0-28 15.15%),27 (0.82),←,
26,"Faull, Jonty",19y 119d,8 (2-0-6 25.00%),4 (0.50),←,
50,"Gray, Campbell",21y 272d,3 (0-0-3 0.00%),,←,
48,"Green, Steely",21y 142d,18 (3-0-15 16.67%),12 (0.67),←,
2,"Hopper, Jacob",28y 114d,154 (73-3-78 48.38%),54 (0.35),40 (10-1-29 26.25%),12 (0.30)
19,"Lynch, Tom",32y 212d,230 (94-4-132 41.74%),477 (2.07),99 (57-3-39 59.09%),223 (2.25)
7,"Mansell, Rhyan",24y 361d,62 (16-1-45 26.61%),38 (0.61),←,
28,"McAuliffe, Kane",20y 91d,13 (2-0-11 15.38%),,←,
33,"McIntosh, Kamdyn",31y 58d,202 (110-3-89 55.20%),59 (0.29),←,
12,"Miller, Ben",25y 273d,58 (17-3-38 31.90%),9 (0.16),←,
25,"Nankervis, Toby",30y 292d,168 (93-2-73 55.95%),43 (0.26),156 (86-2-68 55.77%),40 (0.26)
3,"Prestia, Dion",32y 231d,226 (104-3-119 46.68%),74 (0.33),131 (78-3-50 60.69%),44 (0.34)
13,"Ralphsmith, Hugo",23y 203d,58 (17-1-40 30.17%),20 (0.34),←,
5,"Ross, Jack",24y 270d,82 (37-2-43 46.34%),18 (0.22),←,
38,"Sims, Tom",19y 19d,4 (1-0-3 25.00%),2 (0.50),←,
49,"Smith, Kaleb",20y 192d,10 (0-0-10 0.00%),1 (0.10),←,
40,"Sonsie, Tyler",22y 124d,29 (7-1-21 25.86%),9 (0.31),←,
14,"Taranto, Tim",27y 123d,164 (74-3-87 46.04%),82 (0.50),50 (15-1-34 31.00%),34 (0.68)
31,"Trainor, Luke",19y 51d,12 (3-0-9 25.00%),,←,
1,"Vlastuin, Nick",31y 42d,245 (134-4-107 55.51%),29 (0.12),←,
Totals,Totals,24y 338d,2002 (894-33-1075 44.66%),974 (0.49),,
C,"Yze, Adem",47y 252d,36 (6-0-30 16.67%),,35 (5-0-30 14.29%),
