Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Batchelor, Jake",22y 121d,41 (17-2-22 43.90%),1 (0.02),←,
25,"Chaplin, Troy",28y 111d,174 (73-1-100 42.24%),11 (0.06),34 (18-0-16 52.94%),1 (0.03)
9,"Cotchin, Trent",24y 68d,120 (53-2-65 45.00%),69 (0.57),←,
7,"Dea, Matt",22y 244d,28 (11-1-16 41.07%),1 (0.04),←,
3,"Deledio, Brett",27y 57d,203 (81-5-117 41.13%),131 (0.65),←,
27,"Edwards, Aaron",30y 104d,93 (50-1-42 54.30%),138 (1.48),11 (7-0-4 63.64%),14 (1.27)
10,"Edwards, Shane",25y 232d,141 (52-5-84 38.65%),92 (0.65),←,
5,"Ellis, Brandon",20y 315d,54 (26-1-27 49.07%),22 (0.41),←,
41,"Foley, Nathan",28y 279d,143 (55-3-85 39.51%),42 (0.29),←,
2,"Grimes, Dylan",22y 333d,34 (14-0-20 41.18%),,←,
16,"Hampson, Shaun",26y 85d,73 (37-1-35 51.37%),32 (0.44),10 (3-0-7 30.00%),
14,"Houli, Bachar",26y 33d,103 (45-3-55 45.15%),25 (0.24),77 (35-2-40 46.75%),16 (0.21)
35,"Lennon, Ben",18y 344d,5 (1-0-4 20.00%),2 (0.40),←,
20,"Maric, Ivan",28y 161d,121 (66-1-54 54.96%),47 (0.39),44 (23-1-20 53.41%),19 (0.43)
4,"Martin, Dustin",22y 353d,98 (41-2-55 42.86%),108 (1.10),←,
26,"Miles, Anthony",22y 106d,12 (1-0-11 8.33%),2 (0.17),2 (0-0-2 0.00%),1 (0.50)
38,"Morris, Steven",25y 165d,55 (27-1-27 50.00%),7 (0.13),←,
1,"Newman, Chris",32y 27d,241 (85-5-151 36.31%),42 (0.17),←,
13,"Petterd, Ricky",25y 325d,73 (22-1-50 30.82%),65 (0.89),19 (8-0-11 42.11%),10 (0.53)
18,"Rance, Alex",24y 248d,96 (36-2-58 38.54%),8 (0.08),←,
8,"Riewoldt, Jack",25y 226d,146 (57-4-85 40.41%),355 (2.43),←,
31,"Vlastuin, Nick",20y 56d,28 (13-0-15 46.43%),10 (0.36),←,
Totals,Totals,25y 32d,2082 (863-41-1178 41.45%),1210 (0.58),,
C,"Hardwick, Damien",41y 300d,101 (42-2-57 42.57%),,←,
