Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
13,"Acres, Blake",27y 198d,125 (55-3-67 45.20%),38 (0.30),5 (2-1-2 50.00%),1 (0.20)
5,"Cerra, Adam",23y 198d,100 (45-1-54 45.50%),22 (0.22),24 (13-1-10 56.25%),6 (0.25)
39,"Cincotta, Alex",26y 127d,1 (0-0-1 0.00%),,←,
26,"Cowan, Lachlan",18y 143d,6 (3-1-2 58.33%),,←,
9,"Cripps, Patrick",28y 36d,165 (52-2-111 32.12%),87 (0.53),←,
30,"Curnow, Charlie",26y 79d,90 (26-1-63 29.44%),164 (1.82),←,
35,"Curnow, Ed",33y 167d,210 (78-3-129 37.86%),51 (0.24),←,
19,"Durdin, Corey",21y 9d,28 (15-0-13 53.57%),22 (0.79),←,
25,"Fisher, Zac",24y 312d,101 (31-1-69 31.19%),51 (0.50),←,
29,"Hewett, George",27y 115d,140 (82-1-57 58.93%),36 (0.26),20 (11-1-8 57.50%),4 (0.20)
14,"Hollands, Oliver",19y 97d,6 (3-1-2 58.33%),,←,
36,"Honey, Josh",21y 188d,14 (7-0-7 50.00%),8 (0.57),←,
7,"Kennedy, Matthew",26y 17d,82 (38-3-41 48.17%),36 (0.44),63 (27-1-35 43.65%),29 (0.46)
11,"McGovern, Mitch",28y 194d,93 (50-2-41 54.84%),104 (1.12),45 (16-1-28 36.67%),37 (0.82)
10,"McKay, Harry",25y 120d,92 (34-1-57 37.50%),183 (1.99),←,
3,"Motlop, Jesse",19y 151d,18 (8-1-9 47.22%),18 (1.00),←,
24,"Newman, Nic",30y 98d,92 (47-1-44 51.63%),14 (0.15),61 (27-1-33 45.08%),6 (0.10)
4,"OBrien, Lochie",23y 217d,65 (24-1-40 37.69%),16 (0.25),←,
27,"Pittonet, Marc",26y 324d,46 (21-0-25 45.65%),5 (0.11),39 (16-0-23 41.03%),5 (0.13)
1,"Silvagni, Jack",25y 127d,105 (37-1-67 35.71%),78 (0.74),←,
18,"Walsh, Sam",22y 295d,83 (33-0-50 39.76%),32 (0.39),←,
23,"Weitering, Jacob",25y 151d,139 (45-1-93 32.73%),11 (0.08),←,
33,"Young, Lewis",24y 124d,49 (27-1-21 56.12%),2 (0.04),25 (12-1-12 50.00%),1 (0.04)
Totals,Totals,25y 9d,1850 (761-26-1063 41.14%),978 (0.53),,
C,"Voss, Michael",47y 290d,136 (57-2-77 42.65%),,27 (14-1-12 53.70%),
