Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
41,"Casboult, Levi",27y 25d,75 (25-1-49 34.00%),73 (0.97),←,
9,"Cripps, Patrick",22y 22d,47 (12-1-34 26.60%),17 (0.36),←,
35,"Curnow, Ed",27y 153d,112 (47-2-63 42.86%),18 (0.16),←,
15,"Docherty, Sam",23y 174d,73 (23-1-49 32.19%),11 (0.15),60 (17-1-42 29.17%),10 (0.17)
4,"Gibbs, Bryce",28y 25d,212 (90-2-120 42.92%),121 (0.57),←,
11,"Kerridge, Sam",23y 348d,49 (20-0-29 40.82%),30 (0.61),22 (7-0-15 31.82%),7 (0.32)
8,"Kreuzer, Matthew",27y 331d,143 (66-0-77 46.15%),75 (0.52),←,
26,"Macreadie, Harrison",18y 363d,3 (1-0-2 33.33%),,←,
22,"Marchbank, Caleb",20y 123d,10 (3-0-7 30.00%),,3 (1-0-2 33.33%),
3,"Murphy, Marc",29y 264d,217 (93-1-123 43.09%),160 (0.74),←,
24,"Palmer, Rhys",28y 55d,123 (42-0-81 34.15%),95 (0.77),1 (1-0-0 100.00%),
5,"Petrevski-Seton, Sam",19y 49d,3 (1-0-2 33.33%),2 (0.67),←,
33,"Pickett, Jarrod",20y 234d,3 (1-0-2 33.33%),1 (0.33),←,
20,"Plowman, Lachie",22y 210d,42 (12-0-30 28.57%),1 (0.02),22 (8-0-14 36.36%),
17,"Rowe, Sam",29y 141d,76 (24-1-51 32.24%),15 (0.20),←,
1,"Silvagni, Jack",19y 113d,11 (1-0-10 9.09%),9 (0.82),←,
6,"Simpson, Kade",32y 339d,267 (103-3-161 39.14%),127 (0.48),←,
39,"Thomas, Dale",29y 292d,203 (118-2-83 58.62%),142 (0.70),46 (15-0-31 32.61%),21 (0.46)
23,"Weitering, Jacob",19y 137d,23 (6-0-17 26.09%),5 (0.22),←,
43,"White, Simon",28y 296d,79 (31-2-46 40.51%),12 (0.15),←,
31,"Williamson, Tom",18y 118d,1 (1-0-0 100.00%),,←,
46,"Wright, Matthew",27y 116d,119 (57-0-62 47.90%),91 (0.76),25 (8-0-17 32.00%),28 (1.12)
Totals,Totals,24y 278d,1891 (777-16-1098 41.09%),1005 (0.53),,
C,"Bolton, Brendon",37y 356d,30 (13-0-17 43.33%),,25 (8-0-17 32.00%),
