Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
30,"Bayes, Mark",28y 32d,197 (72-2-123 37.06%),134 (0.68),←,
12,"Considine, Ed",26y 209d,74 (35-0-39 47.30%),18 (0.24),25 (3-0-22 12.00%),6 (0.24)
23,"Crawford, Justin",18y 27d,1 (0-0-1 0.00%),,←,
8,"Cresswell, Daryn",23y 329d,50 (4-0-46 8.00%),49 (0.98),←,
5,"Daniels, Jayson",24y 56d,113 (30-1-82 26.99%),20 (0.18),39 (5-0-34 12.82%),1 (0.03)
18,"Direen, Scott",22y 178d,20 (3-0-17 15.00%),7 (0.35),←,
6,"Dunkley, Andrew",26y 291d,56 (7-1-48 13.39%),3 (0.05),←,
20,"Gaspar, Darren",18y 331d,8 (1-0-7 12.50%),,←,
9,"Grant, Shannon",17y 362d,3 (0-0-3 0.00%),2 (0.67),←,
25,"Gray, Troy",22y 49d,31 (3-1-27 11.29%),12 (0.39),←,
39,"Heuskes, Adam",19y 27d,13 (2-0-11 15.38%),2 (0.15),←,
47,"Higgins, Leon",26y 293d,115 (34-2-79 30.43%),75 (0.65),←,
11,"Kappler, Darren",30y 83d,130 (37-0-93 28.46%),105 (0.81),43 (7-0-36 16.28%),54 (1.26)
14,"Kelly, Paul",25y 262d,93 (15-2-76 17.20%),50 (0.54),←,
24,"Kickett, Derek",32y 192d,109 (55-1-53 50.92%),140 (1.28),20 (3-0-17 15.00%),34 (1.70)
34,"Luff, Troy",25y 145d,34 (5-1-28 16.18%),30 (0.88),←,
2,"McRae, Dean",26y 155d,120 (39-1-80 32.92%),41 (0.34),39 (5-0-34 12.82%),16 (0.41)
17,"Mooney, Jason",21y 315d,36 (3-0-33 8.33%),7 (0.19),←,
1,"Roos, Paul",31y 293d,272 (110-0-162 40.44%),272 (1.00),3 (0-0-3 0.00%),2 (0.67)
7,"Seymour, Brad",18y 348d,12 (1-0-11 8.33%),,←,
15,"Stafford, Greg",20y 232d,13 (0-0-13 0.00%),4 (0.31),←,
Totals,Totals,24y 79d,1500 (456-12-1032 30.40%),971 (0.65),,
C,"Barassi, Ron",59y 48d,496 (268-4-224 54.44%),,40 (5-0-35 12.50%),
