Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 105d,24 (13-1-10 56.25%),23 (0.96),←,
10,"Ashcroft, Marcus",24y 257d,137 (43-2-92 32.12%),79 (0.58),←,
17,"Bartlett, Trent",19y 195d,18 (11-1-6 63.89%),1 (0.06),←,
25,"Bews, Andrew",31y 325d,254 (132-2-120 52.36%),134 (0.53),47 (22-1-24 47.87%),2 (0.04)
1,"Champion, Richard",28y 55d,104 (34-2-68 33.65%),34 (0.33),←,
16,"Clarke, Matthew",22y 264d,54 (26-1-27 49.07%),6 (0.11),←,
14,"Dickfos, Danny",25y 252d,10 (7-1-2 75.00%),,←,
6,"Fletcher, Adrian",26y 242d,116 (53-1-62 46.12%),63 (0.54),71 (28-1-42 40.14%),43 (0.61)
8,"Gowers, Andrew",27y 58d,114 (70-1-43 61.84%),56 (0.49),25 (11-1-13 46.00%),2 (0.08)
27,"Keating, Clark",20y 81d,4 (3-1-0 87.50%),2 (0.50),←,
41,"Kennedy, Matthew",26y 125d,99 (30-1-68 30.81%),24 (0.24),←,
18,"Lambert, Craig",27y 247d,162 (51-1-110 31.79%),68 (0.42),39 (18-1-20 47.44%),15 (0.38)
44,"Lappin, Nigel",19y 353d,46 (22-1-23 48.91%),35 (0.76),←,
23,"Leppitsch, Justin",20y 251d,34 (15-1-18 45.59%),36 (1.06),←,
42,"Lynch, Tristan",22y 291d,9 (6-1-2 72.22%),1 (0.11),←,
2,"McAdam, Gilbert",29y 70d,99 (53-2-44 54.55%),83 (0.84),46 (23-1-22 51.09%),35 (0.76)
7,"McIvor, Scott",29y 304d,186 (67-1-118 36.29%),90 (0.48),131 (41-1-89 31.68%),75 (0.57)
24,"Merrett, Roger",36y 50d,302 (143-4-155 48.01%),423 (1.40),153 (46-2-105 30.72%),275 (1.80)
22,"Scott, Chris",20y 36d,43 (20-1-22 47.67%),20 (0.47),←,
3,"Voss, Michael",20y 337d,65 (28-1-36 43.85%),57 (0.88),←,
33,"White, Darryl",22y 362d,77 (30-2-45 40.26%),86 (1.12),←,
Totals,Totals,24y 325d,1957 (857-29-1071 43.79%),1321 (0.68),,
C,"Northey, John",52y 345d,266 (135-3-128 51.32%),,10 (7-1-2 75.00%),
