St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
26,"Battle, Josh",22y 306d,55 (24-0-31 43.64%),26 (0.47),←,
15,"Billings, Jack",25y 320d,140 (55-1-84 39.64%),100 (0.71),←,
16,"Butler, Dan",25y 31d,79 (49-0-30 62.03%),95 (1.20),34 (18-0-16 52.94%),42 (1.24)
31,"Byrnes, Ryan",20y 62d,10 (6-0-4 60.00%),4 (0.40),←,
37,"Connolly, Leo",19y 331d,2 (2-0-0 100.00%),,←,
5,"Crouch, Brad",27y 171d,108 (54-0-54 50.00%),38 (0.35),13 (6-0-7 46.15%),4 (0.31)
7,"Dunstan, Luke",26y 156d,110 (41-2-67 38.18%),46 (0.42),←,
22,"Higgins, Jack",22y 107d,58 (37-1-20 64.66%),48 (0.83),15 (7-0-8 46.67%),19 (1.27)
34,"Highmore, Tom",23y 130d,9 (4-0-5 44.44%),,←,
8,"Hill, Bradley",27y 360d,183 (112-0-71 61.20%),83 (0.45),34 (18-0-16 52.94%),4 (0.12)
20,"Howard, Dougal",25y 101d,79 (41-0-38 51.90%),15 (0.19),34 (18-0-16 52.94%),1 (0.03)
12,"King, Max",20y 362d,32 (16-0-16 50.00%),42 (1.31),←,
21,"Long, Ben",23y 317d,55 (21-1-33 39.09%),22 (0.40),←,
19,"Marshall, Rowan",25y 222d,59 (25-0-34 42.37%),31 (0.53),←,
36,"McKenzie, Daniel",25y 48d,56 (22-0-34 39.29%),7 (0.13),←,
28,"Membrey, Tim",27y 39d,124 (56-2-66 45.97%),209 (1.69),123 (55-2-66 45.53%),209 (1.70)
6,"Ross, Sebastian",28y 58d,153 (58-2-93 38.56%),29 (0.19),←,
18,"Ryder, Paddy",33y 112d,266 (135-4-127 51.50%),184 (0.69),23 (14-0-9 60.87%),13 (0.57)
35,"Sinclair, Jack",26y 142d,113 (46-1-66 41.15%),42 (0.37),←,
9,"Steele, Jack",25y 203d,112 (47-1-64 42.41%),45 (0.40),95 (39-1-55 41.58%),36 (0.38)
29,"Webster, Jimmy",28y 6d,106 (38-1-67 36.32%),3 (0.03),←,
44,"Wilkie, Callum",25y 116d,56 (27-0-29 48.21%),,←,
32,"Wood, Mason",27y 294d,74 (36-0-38 48.65%),83 (1.12),9 (6-0-3 66.67%),7 (0.78)
Totals,Totals,25y 142d,2039 (952-16-1071 46.69%),1152 (0.56),,
C,"Ratten, Brett",49y 358d,160 (81-1-78 50.94%),,40 (21-0-19 52.50%),
