Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
32,"Bugg, Tomas",24y 46d,88 (27-0-61 30.68%),25 (0.28),23 (10-0-13 43.48%),9 (0.39)
17,"Frost, Sam",23y 266d,46 (16-0-30 34.78%),8 (0.17),25 (11-0-14 44.00%),6 (0.24)
36,"Garlett, Jeff",27y 291d,155 (76-1-78 49.35%),272 (1.75),48 (19-0-29 39.58%),89 (1.85)
19,"Hannan, Mitch",23y 73d,8 (4-0-4 50.00%),10 (1.25),←,
14,"Hibberd, Michael",27y 138d,89 (42-1-46 47.75%),12 (0.13),5 (2-0-3 40.00%),1 (0.20)
29,"Hunt, Jayden",22y 48d,28 (13-0-15 46.43%),7 (0.25),←,
39,"Jetta, Neville",27y 98d,103 (29-2-72 29.13%),24 (0.23),←,
2,"Jones, Nathan",29y 121d,232 (62-3-167 27.37%),112 (0.48),←,
16,"Kent, Dean",23y 86d,56 (16-0-40 28.57%),55 (0.98),←,
6,"Lewis, Jordan",31y 27d,270 (173-1-96 64.26%),149 (0.55),6 (4-0-2 66.67%),4 (0.67)
28,"McDonald, Oscar",21y 64d,24 (12-0-12 50.00%),,←,
25,"McDonald, Tom",24y 245d,113 (32-0-81 28.32%),12 (0.11),←,
13,"Oliver, Clayton",19y 303d,22 (11-0-11 50.00%),8 (0.36),←,
21,"Pedersen, Cameron",30y 65d,65 (21-0-44 32.31%),58 (0.89),49 (14-0-35 28.57%),38 (0.78)
5,"Petracca, Christian",21y 137d,26 (11-0-15 42.31%),24 (0.92),←,
3,"Salem, Christian",21y 310d,39 (13-0-26 33.33%),12 (0.31),←,
12,"Tyson, Dom",23y 347d,79 (22-0-57 27.85%),38 (0.48),66 (21-0-45 31.82%),34 (0.52)
23,"Vince, Bernie",31y 231d,201 (90-0-111 44.78%),111 (0.55),72 (22-0-50 30.56%),31 (0.43)
7,"Viney, Jack",23y 38d,79 (24-0-55 30.38%),23 (0.29),←,
42,"Wagner, Josh",22y 331d,17 (7-0-10 41.18%),,←,
4,"Watts, Jack",26y 56d,146 (42-2-102 29.45%),134 (0.92),←,
26,"Weideman, Sam",19y 329d,9 (4-0-5 44.44%),6 (0.67),←,
Totals,Totals,24y 299d,1895 (747-10-1138 39.42%),1100 (0.58),,
C,"Goodwin, Simon",40y 146d,10 (4-0-6 40.00%),,9 (4-0-5 44.44%),
