Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
16,"Brown, Leigh",25y 51d,153 (59-1-93 38.89%),57 (0.37),90 (40-1-49 45.00%),37 (0.41)
43,"Campbell, Matt",20y 84d,2 (0-0-2 0.00%),1 (0.50),←,
27,"Edwards, Aaron",23y 44d,6 (4-0-2 66.67%),4 (0.67),2 (0-0-2 0.00%),2 (1.00)
24,"Firrito, Michael",23y 139d,61 (29-0-32 47.54%),12 (0.20),←,
38,"Gibson, Josh",23y 33d,12 (3-0-9 25.00%),,←,
6,"Grant, Shannon",29y 361d,258 (142-2-114 55.43%),295 (1.14),200 (110-1-89 55.25%),257 (1.28)
15,"Green, Kasey",27y 217d,77 (28-1-48 37.01%),21 (0.27),23 (7-0-16 30.43%),13 (0.57)
31,"Hale, David",22y 328d,62 (24-0-38 38.71%),34 (0.55),←,
4,"Harris, Daniel",24y 340d,94 (43-1-50 46.28%),28 (0.30),←,
29,"Harvey, Brent",28y 336d,219 (120-1-98 55.02%),255 (1.16),←,
21,"Jones, Corey",26y 48d,106 (46-0-60 43.40%),126 (1.19),←,
1,"McIntosh, Hamish",22y 223d,21 (5-0-16 23.81%),8 (0.38),←,
20,"Petrie, Drew",24y 182d,109 (49-1-59 45.41%),74 (0.68),←,
30,"Pratt, Daniel",24y 25d,41 (18-0-23 43.90%),4 (0.10),38 (17-0-21 44.74%),3 (0.08)
3,"Rawlings, Brady",25y 309d,136 (67-0-69 49.26%),52 (0.38),←,
32,"Sansbury, Eddie",23y 140d,28 (9-0-19 32.14%),7 (0.25),←,
7,"Simpson, Adam",31y 58d,245 (141-1-103 57.76%),71 (0.29),←,
9,"Sinclair, Jess",28y 232d,164 (61-1-102 37.50%),62 (0.38),114 (48-1-65 42.54%),36 (0.32)
19,"Swallow, Andrew",19y 317d,15 (3-0-12 20.00%),3 (0.20),←,
12,"Thomas, Lindsay",19y 46d,3 (0-0-3 0.00%),1 (0.33),←,
36,"Watt, Shannon",26y 140d,111 (53-1-57 48.20%),8 (0.07),←,
8,"Wells, Daniel",22y 71d,87 (40-1-46 46.55%),48 (0.55),←,
Totals,Totals,24y 252d,2010 (944-11-1055 46.97%),1171 (0.58),,
C,"Laidley, Dani",40y 19d,92 (41-1-50 45.11%),,←,
