Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
22,"Addison, Dylan",25y 301d,85 (43-1-41 51.18%),28 (0.33),←,
45,"Campbell, Tom",21y 275d,9 (0-0-9 0.00%),5 (0.56),←,
17,"Cooney, Adam",27y 308d,198 (96-2-100 48.99%),168 (0.85),←,
4,"Cross, Daniel",30y 127d,206 (95-3-108 46.84%),31 (0.15),←,
6,"Dahlhaus, Luke",20y 348d,46 (15-0-31 32.61%),46 (1.00),←,
29,"Dickson, Tory",25y 312d,26 (6-0-20 23.08%),34 (1.31),←,
13,"Giansiracusa, Daniel",31y 146d,246 (109-4-133 45.12%),308 (1.25),←,
1,"Grant, Jarrad",24y 29d,54 (25-0-29 46.30%),65 (1.20),←,
16,"Griffen, Ryan",27y 8d,179 (89-1-89 50.00%),119 (0.66),←,
26,"Hunter, Lachie",18y 234d,6 (1-0-5 16.67%),2 (0.33),←,
21,"Liberatore, Tom",21y 80d,51 (15-0-36 29.41%),10 (0.20),←,
11,"Macrae, Jack",19y 1d,13 (4-0-9 30.77%),3 (0.23),←,
27,"Minson, Will",28y 115d,154 (74-1-79 48.38%),70 (0.45),←,
38,"Morris, Dale",30y 218d,169 (90-2-77 53.85%),3 (0.02),←,
2,"Murphy, Robert",31y 56d,245 (105-4-136 43.67%),166 (0.68),←,
42,"Picken, Liam",27y 3d,103 (45-0-58 43.69%),29 (0.28),←,
23,"Roughead, Jordan",22y 274d,53 (19-0-34 35.85%),12 (0.23),←,
25,"Stevens, Koby",22y 47d,26 (9-0-17 34.62%),10 (0.38),15 (5-0-10 33.33%),8 (0.53)
32,"Talia, Michael",20y 174d,13 (3-0-10 23.08%),1 (0.08),←,
15,"Tutt, Jason",22y 81d,17 (4-0-13 23.53%),11 (0.65),←,
3,"Wallis, Mitch",20y 284d,39 (10-0-29 25.64%),10 (0.26),←,
31,"Young, Tom",21y 100d,20 (11-0-9 55.00%),3 (0.15),11 (3-0-8 27.27%),1 (0.09)
Totals,Totals,24y 210d,1958 (868-18-1072 44.33%),1134 (0.58),,
C,"McCartney, Brendan",52y 285d,40 (10-0-30 25.00%),,←,
