Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",24y 184d,95 (26-1-68 27.89%),76 (0.80),←,
15,"Anderson, Noah",21y 177d,57 (18-1-38 32.46%),14 (0.25),←,
31,"Andrew, Mac",18y 252d,3 (1-0-2 33.33%),,←,
30,"Casboult, Levi",32y 151d,174 (56-1-117 32.47%),191 (1.10),20 (8-0-12 40.00%),35 (1.75)
1,"Chol, Mabior",25y 196d,52 (28-1-23 54.81%),67 (1.29),21 (9-0-12 42.86%),43 (2.05)
25,"Collins, Sam",28y 59d,80 (27-1-52 34.38%),,66 (24-1-41 37.12%),
5,"Davies, Alex",20y 148d,15 (6-0-9 40.00%),6 (0.40),←,
12,"Day, Sam",29y 341d,147 (42-2-103 29.25%),106 (0.72),←,
4,"Ellis, Brandon",29y 10d,230 (128-2-100 56.09%),77 (0.33),54 (19-1-34 36.11%),19 (0.35)
50,"Farrar, Jy",25y 249d,24 (10-0-14 41.67%),2 (0.08),←,
26,"Flanders, Sam",21y 20d,29 (8-1-20 29.31%),9 (0.31),←,
46,"Graham, Caleb",21y 335d,36 (9-0-27 25.00%),1 (0.03),←,
36,"Hollands, Elijah",20y 110d,4 (1-0-3 25.00%),5 (1.25),←,
23,"Lemmens, Sean",27y 284d,133 (37-2-94 28.57%),25 (0.19),←,
13,"Lukosius, Jack",22y 4d,72 (20-1-51 28.47%),16 (0.22),←,
44,"Macpherson, Darcy",24y 288d,71 (18-0-53 25.35%),26 (0.37),←,
11,"Miller, Touk",26y 172d,159 (41-2-116 26.42%),46 (0.29),←,
22,"Rankine, Izak",22y 112d,48 (16-1-31 34.38%),57 (1.19),←,
41,"Rosas, Malcolm",21y 47d,18 (8-0-10 44.44%),12 (0.67),←,
18,"Rowell, Matt",21y 43d,38 (15-0-23 39.47%),10 (0.26),←,
20,"Sharp, Jeremy",21y,23 (8-0-15 34.78%),7 (0.30),←,
24,"Swallow, David",29y 267d,196 (54-1-141 27.81%),85 (0.43),←,
28,"Witts, Jarrod",29y 334d,143 (46-1-96 32.52%),29 (0.20),103 (28-1-74 27.67%),11 (0.11)
Totals,Totals,24y 212d,1847 (623-18-1206 33.73%),867 (0.47),,
C,"Dew, Stuart",42y 360d,104 (28-1-75 27.40%),,←,
