Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",26y 35d,119 (37-1-81 31.51%),100 (0.84),←,
15,"Anderson, Noah",23y 28d,83 (30-1-52 36.75%),30 (0.36),←,
10,"Ballard, Charlie",24y 237d,112 (35-1-76 31.70%),2 (0.02),←,
16,"Berry, Tom",22y 320d,28 (20-0-8 71.43%),4 (0.14),8 (5-0-3 62.50%),1 (0.13)
35,"Budarick, Connor",22y 345d,30 (13-1-16 45.00%),1 (0.03),←,
30,"Casboult, Levi",34y 1d,197 (66-1-130 33.76%),215 (1.09),43 (18-0-25 41.86%),59 (1.37)
25,"Collins, Sam",29y 275d,106 (39-1-66 37.26%),,92 (36-1-55 39.67%),
4,"Ellis, Brandon",30y 226d,249 (137-2-110 55.42%),84 (0.34),73 (28-1-44 39.04%),26 (0.36)
8,"Fiorini, Brayden",26y 207d,95 (27-1-67 28.95%),29 (0.31),←,
3,"Flanders, Sam",22y 236d,46 (15-1-30 33.70%),14 (0.30),←,
7,"Holman, Nick",28y 292d,112 (37-0-75 33.04%),63 (0.56),103 (36-0-67 34.95%),63 (0.61)
19,"Humphrey, Bailey",19y 187d,21 (10-0-11 47.62%),12 (0.57),←,
34,"King, Ben",23y 253d,75 (23-1-51 31.33%),134 (1.79),←,
13,"Lukosius, Jack",23y 220d,97 (32-1-64 33.51%),59 (0.61),←,
44,"Macpherson, Darcy",26y 139d,97 (30-0-67 30.93%),29 (0.30),←,
11,"Miller, Touk",28y 23d,175 (48-2-125 28.00%),51 (0.29),←,
27,"Powell, Wil",24y 203d,89 (34-1-54 38.76%),13 (0.15),←,
41,"Rosas, Malcolm",22y 263d,40 (19-0-21 47.50%),38 (0.95),←,
18,"Rowell, Matt",22y 259d,64 (27-0-37 42.19%),18 (0.28),←,
6,"Sexton, Alex",30y 104d,168 (46-0-122 27.38%),162 (0.96),←,
24,"Swallow, David",31y 118d,222 (66-1-155 29.95%),100 (0.45),←,
32,"Uwland, Bodhi",20y 235d,5 (3-0-2 60.00%),,←,
28,"Witts, Jarrod",31y 185d,167 (58-1-108 35.03%),33 (0.20),127 (40-1-86 31.89%),15 (0.12)
Totals,Totals,25y 350d,2397 (852-17-1528 35.54%),1191 (0.50),,
C,"Hardwick, Damien",51y 211d,309 (172-6-131 56.63%),,2 (2-0-0 100.00%),
