West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
12,"Allen, Oscar",26y 39d,99 (42-0-57 42.42%),143 (1.44),←,
3,"Baker, Liam",27y 90d,135 (67-4-64 51.11%),54 (0.40),7 (0-0-7 0.00%),
28,"Cole, Tom",27y 334d,118 (57-0-61 48.31%),4 (0.03),←,
15,"Cripps, Jamie",33y 4d,258 (126-1-131 49.03%),319 (1.24),242 (118-1-123 48.97%),303 (1.25)
38,"Davis, Hamish",18y 360d,4 (0-0-4 0.00%),,←,
43,"Dewar, Tyrell",21y 31d,14 (3-0-11 21.43%),8 (0.57),←,
14,"Duggan, Liam",28y 137d,186 (84-0-102 45.16%),15 (0.08),←,
25,"Flynn, Matt",27y 226d,40 (10-1-29 26.25%),12 (0.30),7 (0-0-7 0.00%),2 (0.29)
7,"Ginbey, Reuben",20y 229d,47 (6-0-41 12.77%),2 (0.04),←,
17,"Graham, Jack",27y 61d,137 (75-4-58 56.20%),51 (0.37),6 (0-0-6 0.00%),
8,"Hewett, Elijah",20y 335d,19 (3-0-16 15.79%),6 (0.32),←,
19,"Hough, Brady",22y 53d,60 (8-0-52 13.33%),,←,
5,"Hunt, Jayden",30y 24d,164 (69-1-94 42.38%),55 (0.34),50 (8-0-42 16.00%),12 (0.24)
44,"Hutchinson, Jack",23y 168d,11 (0-0-11 0.00%),2 (0.18),←,
13,"Long, Noah",20y 247d,31 (5-0-26 16.13%),10 (0.32),←,
23,"Maric, Ryan",20y 233d,36 (7-0-29 19.44%),16 (0.44),←,
20,"McGovern, Jeremy",33y 12d,196 (105-0-91 53.57%),38 (0.19),←,
16,"Owies, Matthew",28y 39d,79 (40-1-38 51.27%),93 (1.18),7 (0-0-7 0.00%),4 (0.57)
22,"Reid, Archer",19y 220d,7 (0-0-7 0.00%),4 (0.57),←,
9,"Reid, Harley",20y 10d,27 (5-0-22 18.52%),14 (0.52),←,
1,"Ryan, Liam",28y 207d,110 (48-0-62 43.64%),145 (1.32),←,
2,"Waterman, Jake",26y 356d,108 (42-0-66 38.89%),140 (1.30),←,
34,"Williams, Jack",21y 147d,34 (7-0-27 20.59%),28 (0.82),←,
Totals,Totals,24y 345d,1920 (809-12-1099 42.14%),1159 (0.60),,
C,"McQualter, Andrew",38y 322d,20 (7-0-13 35.00%),,7 (0-0-7 0.00%),
