Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
27,"Armfield, Dennis",26y 148d,89 (46-0-43 51.69%),31 (0.35),←,
28,"Bell, Tom",21y 340d,9 (5-0-4 55.56%),7 (0.78),←,
21,"Bootsma, Josh",20y 86d,8 (3-0-5 37.50%),1 (0.13),←,
37,"Cachia, Jaryd",22y 11d,3 (2-0-1 66.67%),,←,
35,"Curnow, Ed",23y 193d,35 (23-1-11 67.14%),4 (0.11),←,
38,"Garlett, Jeff",23y 289d,84 (47-1-36 56.55%),149 (1.77),←,
23,"Henderson, Lachie",23y 156d,68 (33-1-34 49.26%),38 (0.56),53 (25-1-27 48.11%),35 (0.66)
40,"Jamison, Michael",26y 342d,95 (45-1-49 47.89%),1 (0.01),←,
5,"Judd, Chris",29y 253d,247 (142-3-102 58.10%),210 (0.85),113 (58-1-54 51.77%),72 (0.64)
8,"Kreuzer, Matthew",24y 6d,93 (48-0-45 51.61%),50 (0.54),←,
9,"Lucas, Kane",21y 327d,26 (15-0-11 57.69%),9 (0.35),←,
14,"McLean, Brock",27y 69d,127 (53-1-73 42.13%),58 (0.46),33 (16-0-17 48.48%),19 (0.58)
2,"Menzel, Troy",18y 239d,1 (1-0-0 100.00%),,←,
3,"Murphy, Marc",25y 304d,150 (68-1-81 45.67%),126 (0.84),←,
12,"Robinson, Mitch",23y 346d,75 (42-1-32 56.67%),45 (0.60),←,
29,"Scotland, Heath",32y 302d,250 (105-2-143 42.40%),78 (0.31),197 (82-2-113 42.13%),66 (0.34)
6,"Simpson, Kade",29y 14d,184 (76-2-106 41.85%),115 (0.63),←,
42,"Tuohy, Zach",23y 160d,38 (22-0-16 57.89%),8 (0.21),←,
30,"Waite, Jarrad",30y 104d,156 (56-3-97 36.86%),199 (1.28),←,
1,"Walker, Andrew",27y 1d,150 (55-3-92 37.67%),115 (0.77),←,
11,"Warnock, Robert",26y 120d,63 (32-1-30 51.59%),12 (0.19),42 (22-1-19 53.57%),8 (0.19)
43,"White, Simon",24y 336d,22 (15-1-6 70.45%),2 (0.09),←,
Totals,Totals,25y 56d,1973 (934-22-1017 47.34%),1258 (0.64),,
C,"Malthouse, Mick",59y 275d,672 (390-6-276 58.48%),,8 (4-0-4 50.00%),
