St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",24y 62d,82 (31-1-50 38.41%),17 (0.21),←,
14,"Ball, Luke",20y 59d,33 (22-0-11 66.67%),17 (0.52),←,
6,"Black, Heath",25y 56d,117 (38-0-79 32.48%),49 (0.42),48 (20-0-28 41.67%),14 (0.29)
27,"Blake, Jason",23y 130d,51 (20-1-30 40.20%),9 (0.18),←,
16,"Clarke, Raphael",18y 303d,1 (1-0-0 100.00%),,←,
3,"Clarke, Xavier",20y 299d,51 (23-1-27 46.08%),27 (0.53),←,
26,"Dal Santo, Nick",20y 152d,43 (21-1-21 50.00%),21 (0.49),←,
21,"Ferguson, Matthew",19y 296d,3 (2-0-1 66.67%),,←,
25,"Fisher, Sam",22y 13d,4 (3-0-1 75.00%),,←,
9,"Gehrig, Fraser",28y 142d,183 (92-1-90 50.55%),293 (1.60),68 (29-0-39 42.65%),134 (1.97)
18,"Goddard, Brendon",19y 64d,34 (22-0-12 64.71%),9 (0.26),←,
34,"Guerra, Brent",22y 55d,78 (57-0-21 73.08%),67 (0.86),13 (10-0-3 76.92%),28 (2.15)
35,"Harvey, Robert",32y 337d,293 (142-3-148 48.98%),167 (0.57),←,
7,"Hayes, Lenny",24y 191d,108 (40-2-66 37.96%),44 (0.41),←,
5,"Jones, Austinn",27y 299d,196 (85-2-109 43.88%),121 (0.62),←,
33,"Knobel, Trent",24y 61d,47 (27-1-19 58.51%),7 (0.15),34 (18-1-15 54.41%),7 (0.21)
44,"Milne, Stephen",24y 137d,69 (25-1-43 36.96%),144 (2.09),←,
28,"Montagna, Leigh",20y 264d,17 (10-0-7 58.82%),16 (0.94),←,
1,"Peckett, Justin",31y 292d,211 (87-2-122 41.71%),40 (0.19),←,
12,"Riewoldt, Nick",21y 280d,67 (30-1-36 45.52%),97 (1.45),←,
4,"Thompson, Andrew",31y 276d,165 (70-2-93 43.03%),88 (0.53),←,
13,"Voss, Brett",26y 152d,104 (46-2-56 45.19%),33 (0.32),69 (27-1-41 39.86%),22 (0.32)
Totals,Totals,24y 45d,1957 (894-21-1042 45.68%),1266 (0.65),,
C,"Thomas, Grant",46y 160d,68 (30-1-37 44.85%),,←,
