Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
19,"Betts, Eddie",34y 135d,333 (161-3-169 48.80%),615 (1.85),201 (83-3-115 42.04%),305 (1.52)
41,"Casboult, Levi",31y 26d,145 (46-1-98 32.07%),150 (1.03),←,
46,"Cottrell, Matthew",21y 41d,7 (5-0-2 71.43%),3 (0.43),←,
9,"Cripps, Patrick",26y 23d,122 (33-1-88 27.46%),57 (0.47),←,
35,"Curnow, Ed",31y 154d,186 (69-2-115 37.63%),42 (0.23),←,
15,"Docherty, Sam",27y 175d,112 (37-1-74 33.48%),14 (0.13),99 (31-1-67 31.82%),13 (0.13)
2,"Dow, Paddy",21y 176d,46 (10-0-36 21.74%),16 (0.35),←,
8,"Fogarty, Lachie",22y 9d,27 (15-0-12 55.56%),8 (0.30),4 (2-0-2 50.00%),2 (0.50)
40,"Gibbons, Michael",25y 330d,40 (15-0-25 37.50%),33 (0.82),←,
14,"Jones, Liam",30y 45d,146 (51-0-95 34.93%),84 (0.58),80 (24-0-56 30.00%),16 (0.20)
7,"Kennedy, Matthew",24y 4d,49 (21-2-26 44.90%),23 (0.47),30 (10-0-20 33.33%),16 (0.53)
10,"McKay, Harry",23y 107d,52 (15-0-37 28.85%),86 (1.65),←,
3,"Murphy, Marc",33y 265d,289 (114-1-174 39.62%),192 (0.66),←,
32,"Newnes, Jack",28y 45d,176 (64-2-110 36.93%),69 (0.39),21 (9-0-12 42.86%),14 (0.67)
26,"Parks, Luke",19y 357d,2 (2-0-0 100.00%),,←,
5,"Petrevski-Seton, Sam",23y 50d,84 (23-0-61 27.38%),19 (0.23),←,
27,"Pittonet, Marc",24y 311d,24 (12-0-12 50.00%),1 (0.04),17 (7-0-10 41.18%),1 (0.06)
20,"Plowman, Lachie",26y 211d,114 (34-0-80 29.82%),2 (0.02),94 (30-0-64 31.91%),1 (0.01)
42,"Saad, Adam",26y 261d,113 (45-2-66 40.71%),8 (0.07),4 (2-0-2 50.00%),
43,"Setterfield, Will",23y 64d,39 (15-0-24 38.46%),10 (0.26),37 (14-0-23 37.84%),10 (0.27)
1,"Silvagni, Jack",23y 114d,66 (17-0-49 25.76%),49 (0.74),←,
18,"Walsh, Sam",20y 282d,43 (16-0-27 37.21%),14 (0.33),←,
23,"Weitering, Jacob",23y 138d,97 (26-0-71 26.80%),10 (0.10),←,
Totals,Totals,25y 272d,2312 (846-15-1451 36.59%),1505 (0.65),,
C,"Teague, David",39y 340d,32 (15-0-17 46.88%),,←,
