Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
9,"Cripps, Patrick",23y 55d,67 (17-1-49 26.12%),25 (0.37),←,
30,"Curnow, Charlie",21y 98d,34 (7-0-27 20.59%),38 (1.12),←,
35,"Curnow, Ed",28y 186d,130 (52-2-76 40.77%),26 (0.20),←,
2,"Dow, Paddy",18y 208d,8 (1-0-7 12.50%),1 (0.13),←,
25,"Fisher, Zac",19y 331d,25 (5-0-20 20.00%),10 (0.40),←,
21,"Garlett, Jarrod",22y 9d,24 (5-0-19 20.83%),15 (0.63),7 (1-0-6 14.29%),5 (0.71)
32,"Graham, Nick",23y 334d,41 (11-0-30 26.83%),11 (0.27),←,
14,"Jones, Liam",27y 77d,103 (37-0-66 35.92%),84 (0.82),37 (10-0-27 27.03%),16 (0.43)
11,"Kerridge, Sam",25y 16d,63 (23-0-40 36.51%),33 (0.52),36 (10-0-26 27.78%),10 (0.28)
8,"Kreuzer, Matthew",28y 364d,166 (72-0-94 43.37%),86 (0.52),←,
13,"Lamb, Jed",25y 205d,53 (19-0-34 35.85%),39 (0.74),31 (10-0-21 32.26%),22 (0.71)
16,"Lang, Darcy",22y 172d,45 (27-1-17 61.11%),33 (0.73),1 (1-0-0 100.00%),2 (2.00)
10,"McKay, Harry",20y 139d,6 (1-0-5 16.67%),12 (2.00),←,
18,"Mullett, Aaron",26y 78d,93 (41-0-52 44.09%),31 (0.33),8 (1-0-7 12.50%),
4,"OBrien, Lochie",18y 236d,5 (1-0-4 20.00%),,←,
24,"OShea, Cameron",26y 60d,87 (37-0-50 42.53%),7 (0.08),6 (1-0-5 16.67%),
5,"Petrevski-Seton, Sam",20y 82d,28 (6-0-22 21.43%),13 (0.46),←,
20,"Plowman, Lachie",23y 243d,68 (18-0-50 26.47%),1 (0.01),48 (14-0-34 29.17%),
17,"Rowe, Sam",30y 174d,86 (27-1-58 31.98%),16 (0.19),←,
6,"Simpson, Kade",34y 7d,294 (109-3-182 37.59%),131 (0.45),←,
39,"Thomas, Dale",30y 325d,226 (123-2-101 54.87%),150 (0.66),69 (20-0-49 28.99%),29 (0.42)
46,"Wright, Matthew",28y 149d,146 (63-0-83 43.15%),125 (0.86),52 (14-0-38 26.92%),62 (1.19)
Totals,Totals,24y 294d,1798 (702-10-1086 39.04%),887 (0.49),,
C,"Bolton, Brendon",39y 24d,57 (19-0-38 33.33%),,52 (14-0-38 26.92%),
