Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",32y 330d,291 (154-2-135 53.26%),381 (1.31),99 (30-0-69 30.30%),119 (1.20)
20,"Barlow, Michael",29y 112d,129 (79-1-49 61.63%),83 (0.64),3 (1-0-2 33.33%),2 (0.67)
29,"Bowes, Jack",19y 73d,3 (1-0-2 33.33%),,←,
8,"Fiorini, Brayden",19y 230d,3 (1-0-2 33.33%),4 (1.33),←,
33,"Hall, Aaron",26y 151d,81 (28-1-52 35.19%),67 (0.83),←,
5,"Harbrow, Jarrod",28y 265d,185 (73-2-110 40.00%),52 (0.28),115 (33-1-81 29.13%),31 (0.27)
38,"Joyce, Jesse",19y 235d,14 (4-0-10 28.57%),,←,
10,"Kolodjashnij, Kade",21y 243d,62 (17-1-44 28.23%),11 (0.18),←,
23,"Lemmens, Sean",22y 158d,52 (16-1-35 31.73%),9 (0.17),←,
19,"Lynch, Tom",24y 160d,105 (29-1-75 28.10%),195 (1.86),←,
25,"Lyons, Jarryd",24y 261d,58 (35-0-23 60.34%),32 (0.55),3 (1-0-2 33.33%),
4,"Martin, Jack",22y 70d,47 (14-1-32 30.85%),41 (0.87),←,
32,"Matera, Brandon",25y 29d,92 (27-1-64 29.89%),108 (1.17),←,
17,"May, Steven",25y 89d,91 (29-1-61 32.42%),17 (0.19),←,
11,"Miller, Touk",21y 46d,43 (9-1-33 22.09%),14 (0.33),←,
3,"Rosa, Matt",30y 137d,186 (91-1-94 49.19%),43 (0.23),18 (4-0-14 22.22%),4 (0.22)
42,"Saad, Adam",22y 260d,29 (8-1-20 29.31%),1 (0.03),←,
6,"Sexton, Alex",23y 127d,58 (16-0-42 27.59%),32 (0.55),←,
24,"Swallow, David",24y 141d,81 (23-0-58 28.40%),39 (0.48),←,
16,"Thompson, Rory",26y 28d,82 (25-1-56 31.10%),7 (0.09),←,
28,"Witts, Jarrod",24y 208d,43 (19-0-24 44.19%),19 (0.44),3 (1-0-2 33.33%),1 (0.33)
30,"Wright, Peter",20y 213d,23 (4-0-19 17.39%),30 (1.30),←,
Totals,Totals,24y 112d,1758 (702-16-1040 39.93%),1185 (0.67),,
C,"Eade, Rodney",59y 5d,361 (180-5-176 50.55%),,47 (11-1-35 24.47%),
