Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
10,"Brayshaw, Angus",19y 150d,10 (3-0-7 30.00%),3 (0.30),←,
18,"Cross, Daniel",32y 70d,237 (105-3-129 44.94%),34 (0.14),27 (7-0-20 25.93%),1 (0.04)
14,"Dunn, Lynden",28y 25d,149 (37-2-110 25.50%),95 (0.64),←,
48,"Fitzpatrick, Jack",23y 347d,22 (2-0-20 9.09%),24 (1.09),←,
20,"Garland, Colin",27y 41d,125 (28-2-95 23.20%),16 (0.13),←,
36,"Garlett, Jeff",25y 309d,117 (60-1-56 51.71%),203 (1.74),10 (3-0-7 30.00%),20 (2.00)
11,"Gawn, Max",23y 160d,27 (5-0-22 18.52%),12 (0.44),←,
1,"Hogan, Jesse",20y 116d,9 (3-0-6 33.33%),17 (1.89),←,
38,"Howe, Jeremy",24y 344d,88 (18-0-70 20.45%),74 (0.84),←,
39,"Jetta, Neville",25y 116d,63 (13-2-48 22.22%),20 (0.32),←,
45,"Jones, Matt",27y 233d,46 (7-0-39 15.22%),8 (0.17),←,
2,"Jones, Nathan",27y 139d,189 (44-3-142 24.07%),89 (0.47),←,
8,"Lumumba, Heritier",28y 205d,209 (132-2-75 63.64%),30 (0.14),10 (3-0-7 30.00%),2 (0.20)
25,"McDonald, Tom",22y 263d,70 (14-0-56 20.00%),3 (0.04),←,
19,"Newton, Ben",22y 304d,12 (6-0-6 50.00%),7 (0.58),8 (3-0-5 37.50%),7 (0.88)
21,"Pedersen, Cameron",28y 83d,51 (13-0-38 25.49%),45 (0.88),35 (6-0-29 17.14%),25 (0.71)
27,"Riley, Aidan",23y 177d,23 (11-0-12 47.83%),8 (0.35),11 (3-0-8 27.27%),3 (0.27)
5,"Toumpas, Jimmy",21y 157d,24 (4-0-20 16.67%),4 (0.17),←,
37,"Vandenberg, Aaron",23y 97d,10 (3-0-7 30.00%),3 (0.30),←,
23,"Vince, Bernie",29y 249d,160 (74-0-86 46.25%),98 (0.61),31 (6-0-25 19.35%),18 (0.58)
7,"Viney, Jack",21y 56d,37 (6-0-31 16.22%),8 (0.22),←,
4,"Watts, Jack",24y 74d,104 (25-2-77 25.00%),78 (0.75),←,
Totals,Totals,25y 19d,1782 (613-17-1152 34.40%),879 (0.49),,
C,"Roos, Paul",51y 346d,234 (123-2-109 52.99%),,32 (7-0-25 21.88%),
