Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",25y 261d,136 (58-1-77 43.01%),77 (0.57),←,
5,"Broadbent, Matthew",23y 261d,84 (31-1-52 37.50%),38 (0.45),←,
27,"Carlile, Alipate",26y 354d,137 (56-1-80 41.24%),5 (0.04),←,
25,"Cassisi, Domenic",31y 209d,220 (110-2-108 50.45%),73 (0.33),←,
18,"Cornes, Kane",31y 104d,273 (137-2-134 50.55%),91 (0.33),←,
7,"Ebert, Brad",24y 17d,127 (50-1-76 39.76%),68 (0.54),51 (22-1-28 44.12%),35 (0.69)
9,"Gray, Robbie",26y 20d,95 (39-0-56 41.05%),129 (1.36),←,
46,"Gray, Sam",22y 77d,2 (2-0-0 100.00%),3 (1.50),←,
8,"Hartlett, Hamish",23y 248d,73 (29-1-43 40.41%),41 (0.56),←,
24,"Impey, Jarman",18y 284d,5 (4-0-1 80.00%),1 (0.20),←,
42,"Jonas, Tom",23y 100d,39 (17-1-21 44.87%),,←,
23,"Lobbe, Matthew",25y 66d,48 (21-0-27 43.75%),12 (0.25),←,
13,"OShea, Cameron",22y 37d,48 (19-0-29 39.58%),7 (0.15),←,
29,"Pittard, Jasper",23y 18d,36 (18-0-18 50.00%),5 (0.14),←,
21,"Polec, Jared",21y 189d,21 (11-0-10 52.38%),11 (0.52),5 (4-0-1 80.00%),2 (0.40)
28,"Schulz, Jay",29y 1d,147 (56-3-88 39.12%),230 (1.56),76 (32-1-43 42.76%),172 (2.26)
12,"Trengove, Jackson",23y 168d,83 (29-1-53 35.54%),7 (0.08),←,
39,"Westhoff, Justin",27y 200d,139 (58-1-80 42.09%),185 (1.33),←,
19,"White, Matt",27y 4d,110 (48-4-58 45.45%),60 (0.55),5 (4-0-1 80.00%),6 (1.20)
16,"Wines, Ollie",19y 194d,29 (17-0-12 58.62%),14 (0.48),←,
20,"Wingard, Chad",20y 264d,47 (21-1-25 45.74%),59 (1.26),←,
40,"Young, Aaron",21y 134d,19 (5-1-13 28.95%),8 (0.42),←,
Totals,Totals,24y 163d,1918 (836-21-1061 43.59%),1124 (0.59),,
C,"Hinkley, Ken",47y 201d,28 (17-0-11 60.71%),,←,
