Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Batchelor, Jake",20y 83d,21 (6-1-14 30.95%),,←,
30,"Conca, Reece",19y 268d,23 (7-1-15 32.61%),4 (0.17),←,
9,"Cotchin, Trent",22y 29d,70 (28-1-41 40.71%),40 (0.57),←,
7,"Dea, Matt",20y 206d,9 (3-0-6 33.33%),,←,
3,"Deledio, Brett",25y 18d,156 (56-4-96 37.18%),104 (0.67),←,
10,"Edwards, Shane",23y 194d,93 (28-4-61 32.26%),40 (0.43),←,
42,"Ellis, Brandon",18y 277d,6 (2-0-4 33.33%),1 (0.17),←,
41,"Foley, Nathan",26y 241d,116 (38-3-75 34.05%),34 (0.29),←,
6,"Grigg, Shaun",24y 17d,70 (28-1-41 40.71%),20 (0.29),27 (10-1-16 38.89%),10 (0.37)
2,"Grimes, Dylan",20y 295d,14 (6-0-8 42.86%),,←,
14,"Houli, Bachar",23y 360d,54 (20-2-32 38.89%),15 (0.28),28 (10-1-17 37.50%),6 (0.21)
28,"King, Jake",28y 41d,77 (23-4-50 32.47%),48 (0.62),←,
20,"Maric, Ivan",26y 123d,83 (45-0-38 54.22%),31 (0.37),6 (2-0-4 33.33%),3 (0.50)
4,"Martin, Dustin",20y 315d,49 (16-1-32 33.67%),49 (1.00),←,
13,"Miller, Brad",28y 305d,153 (53-2-98 35.29%),117 (0.76),20 (9-0-11 45.00%),28 (1.40)
38,"Morris, Steven",23y 127d,6 (2-0-4 33.33%),,←,
26,"Nahas, Robin",24y 178d,61 (17-2-42 29.51%),71 (1.16),←,
17,"Newman, Chris",29y 354d,198 (63-4-131 32.83%),30 (0.15),←,
18,"Rance, Alex",22y 210d,50 (12-1-37 25.00%),7 (0.14),←,
8,"Riewoldt, Jack",23y 188d,96 (32-3-61 34.90%),209 (2.18),←,
21,"Tuck, Shane",30y 134d,146 (52-3-91 36.64%),59 (0.40),←,
29,"Vickery, Ty",21y 341d,51 (17-2-32 35.29%),49 (0.96),←,
Totals,Totals,23y 328d,1602 (554-39-1009 34.58%),928 (0.58),,
C,"Hardwick, Damien",39y 262d,50 (16-1-33 33.00%),,←,
