Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
13,"Ah Chee, Callum",20y 285d,40 (8-0-32 20.00%),23 (0.57),←,
31,"Ballard, Charlie",18y 363d,11 (1-0-10 9.09%),1 (0.09),←,
41,"Brodie, Will",19y 332d,8 (2-0-6 25.00%),1 (0.13),←,
32,"Crossley, Brayden",18y 339d,7 (1-0-6 14.29%),3 (0.43),←,
5,"Harbrow, Jarrod",30y 3d,219 (81-2-136 37.44%),54 (0.25),149 (41-1-107 27.85%),33 (0.22)
40,"Heron, Jacob",18y 223d,4 (1-0-3 25.00%),2 (0.50),←,
39,"Holman, Nick",23y 53d,26 (5-0-21 19.23%),11 (0.42),17 (4-0-13 23.53%),11 (0.65)
38,"Joyce, Jesse",20y 338d,43 (12-0-31 27.91%),1 (0.02),←,
10,"Kolodjashnij, Kade",22y 346d,75 (24-1-50 32.67%),13 (0.17),←,
23,"Lemmens, Sean",23y 261d,75 (22-1-52 30.00%),17 (0.23),←,
7,"Lonergan, Jesse",23y 249d,58 (16-1-41 28.45%),7 (0.12),←,
25,"Lyons, Jarryd",25y 364d,88 (44-0-44 50.00%),47 (0.53),33 (10-0-23 30.30%),15 (0.45)
17,"May, Steven",26y 192d,119 (38-1-80 32.35%),20 (0.17),←,
11,"Miller, Touk",22y 149d,77 (17-1-59 22.73%),24 (0.31),←,
27,"Powell, Wil",18y 329d,4 (1-0-3 25.00%),1 (0.25),←,
35,"Rischitelli, Michael",32y 194d,231 (80-3-148 35.28%),88 (0.38),120 (31-0-89 25.83%),41 (0.34)
6,"Sexton, Alex",24y 230d,92 (25-0-67 27.17%),60 (0.65),←,
16,"Thompson, Rory",27y 131d,102 (30-1-71 29.90%),7 (0.07),←,
14,"Weller, Lachie",22y 148d,64 (18-0-46 28.13%),20 (0.31),17 (4-0-13 23.53%),3 (0.18)
28,"Witts, Jarrod",25y 311d,75 (28-0-47 37.33%),22 (0.29),35 (10-0-25 28.57%),4 (0.11)
30,"Wright, Peter",21y 316d,47 (10-0-37 21.28%),62 (1.32),←,
15,"Young, Aaron",25y 227d,93 (42-1-50 45.70%),80 (0.86),17 (4-0-13 23.53%),18 (1.06)
Totals,Totals,23y 162d,1558 (506-12-1040 32.48%),564 (0.36),,
C,"Dew, Stuart",38y 337d,17 (4-0-13 23.53%),,←,
